p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
1.3387580360119636e-34,-1.504231228608299,0,0.592,3.913992994084577e-30,XIST
3.4851802991418365e-27,1.479893545411191,1,0.969,1.0189273122571073e-22,PLCG2
2.1246406315568357e-18,1.2626295524451714,0.543,0.01,6.211599350419565e-14,SGIP1
2.4246281398946836e-18,-0.7173940180854173,1,1,7.088642829796097e-14,MALAT1
1.4627731220903657e-16,-0.6044586763469534,0,0.296,4.276563499743393e-12,HBB
2.540658044636121e-15,0.9498665665253563,0.967,0.724,7.427867859298164e-11,ACTA1
3.3519803979669418e-15,0.8511834236778673,0.952,0.765,9.799849891496151e-11,COX6A2
3.814611254295727e-15,0.8934778961329786,0.871,0.643,1.1152397463058987e-10,NEK7
4.805495358848811e-15,0.7308278351648969,0.995,1,1.4049346231130383e-10,RYR2
5.021485075721343e-15,0.9858558176797302,0.757,0.224,1.4680813767378918e-10,TTTY14
4.868099760103537e-14,1,0.69,0.214,1.42323764586387e-9,TTTY10
3.3306422822540315e-13,-0.6531340033627355,0.157,0.541,9.737465776397886e-9,CCDC93
3.8951389072401777e-13,-0.8876401167089218,0.952,1,1.1387828109207383e-8,MYH7
5.530553672187957e-13,0.6961058279428991,0.505,0.082,1.616912671600871e-8,ABCA1
3.1074069079668045e-12,-1.2823518888463028,0.529,0.816,9.08481483613175e-8,LINC02208
4.064057358786884e-12,-0.3160274934476781,0,0.214,1.1881678094149334e-7,TSIX
6.312974343550884e-12,-1.1081659786943547,0.619,0.827,1.8456611790805364e-7,ANKRD1
7.810879752617812e-12,-0.5759737174939015,0.176,0.561,2.2835888044753436e-7,ENOX1
1.1256463557462931e-11,0.7374901151830325,0.514,0.122,3.2909396856598624e-7,LRRC1
8.433133454997779e-11,0.6596990844563246,0.605,0.173,2.4655108969031507e-6,UTY
9.911048668120021e-11,-0.520084786015321,1,1,2.8975941886115693e-6,TTN
2.0473282532759231e-10,-0.27850581459623386,0.01,0.214,5.985568881277489e-6,CAVIN1
2.4605834088652847e-10,0.6733597777633167,0.519,0.143,7.1937616541585464e-6,MT1X
3.092973353932065e-10,-0.5546178917251608,0.286,0.643,9.042616897555785e-6,SCN5A
7.399998226392943e-10,-0.4932896144617928,0.1,0.398,2.163463481468241e-5,KLRD1
1.0912914746549417e-9,0.7307020747436361,0.867,0.806,3.190499755301188e-5,PPM1K
2.3065723834212464e-9,0.5308908593266148,0.967,0.888,6.743495020170355e-5,PLN
2.4152197507425594e-9,0.7693653361763424,0.514,0.173,7.061136463270946e-5,FRMD5
2.615182106008929e-9,-0.7934325458252347,0.176,0.49,7.645746405127705e-5,MYH6
2.76228101535282e-9,0.6728504189898932,0.762,0.582,8.075804776485505e-5,MIR133A1HG
2.8066792516164915e-9,-0.8359567517488187,0.719,0.878,8.205607460025974e-5,AC092353.2
3.2618100757628946e-9,0.6986114160028716,0.829,0.653,9.536227937500398e-5,ROR1
3.51046939038744e-9,-0.4716265631763714,0.967,0.939,1.0263208309736719e-4,MYBPC3
6.575035325390573e-9,-0.6802809978085622,0.629,0.806,1.9222773277311877e-4,CHRM2
7.643712647231578e-9,0.5862045972601186,0.543,0.173,2.2347158295446241e-4,USP9Y
1.1503644951663765e-8,0.49730092745853366,0.548,0.204,3.3632056380684185e-4,LAPTM4A
2.2004914034651383e-8,0.5736540101819773,0.695,0.418,6.433356667170678e-4,ATP5MD
2.9331498581918632e-8,-0.35817161548719123,0.029,0.224,8.575356925409731e-4,AC093730.1
3.358481413549549e-8,0.48852606582912816,0.705,0.378,9.818856260653463e-4,ATP1A2
3.608544828856068e-8,0.5736540101819769,0.805,0.592,0.00105499416616436,COX7B
5.968142444756745e-8,0.6308572666918053,0.986,0.98,0.001744846125149082,MT-ND3
6.516727291950843e-8,0.5102302181708143,0.776,0.531,0.0019052303910747485,RPL37A
6.52814937275659e-8,-0.38904229074589947,0.214,0.52,0.0019085697506191167,SOS2
8.160982853368309e-8,0.4933537429418708,0.529,0.214,0.0023859449470107585,CST3
9.728630900286818e-8,0.40872065368811505,0.329,0.051,0.002844262530007854,MBOAT1
1.0810587138833919e-7,-0.4876916550151038,0.99,1,0.003160583255909485,MT-CO1
1.085384734157531e-7,-0.40726988685552246,0.195,0.49,0.0031732308087829577,CRIM1
1.3301133007668147e-7,-0.7607337600991559,0.357,0.622,0.0038887192461218596,KCNMB2
1.3311497068217454e-7,0.688545236342146,0.7,0.5,0.0038917492828640546,CACNA2D3
1.4134832712336992e-7,-0.39909595540982223,0.186,0.459,0.004132459691778843,HEG1
1.7997319280662678e-7,0.5382545155244562,0.624,0.337,0.00526169626489454,TSC22D1
1.813776098371306e-7,-0.31712710862354127,0.024,0.194,0.005302755801198351,LINC02822
3.649963623099605e-7,0.39769797779876703,0.419,0.122,0.010671033648494007,EIF1AY
4.059902278080124e-7,-0.5702020416834611,0.538,0.776,0.01186953030019505,PPP2R3A
4.079894180263878e-7,0.5651157157994018,0.548,0.235,0.011927978625419474,STOX2
4.1509107986908724e-7,-0.3708376953683087,0.071,0.286,0.012135602811052635,AC104041.1
5.237641277096757e-7,-0.487139942706646,0.348,0.592,0.01531276803772008,PNISR
5.679620582705052e-7,-0.4938146126629607,0.162,0.398,0.01660493873559649,SLC27A6
5.979027200396791e-7,-0.35657133876326536,0.124,0.367,0.01748028392308006,HSP90AA1
6.235287733242316e-7,0.4913883854089587,0.729,0.51,0.018229487216907238,EIF1B
6.318675206407625e-7,-0.29218075149331024,0.033,0.204,0.018473278833453333,CCDC192
6.683125864224547e-7,0.5251183275634068,0.881,0.745,0.019538786776646885,MEF2A
7.428966605897217e-7,0.47445570934923875,0.924,0.888,0.021719326769001103,TTN-AS1
8.847948126059032e-7,-0.5120038132176249,0.276,0.52,0.025867861141346187,C6
9.538259252637174e-7,0.42336585903799007,0.9,0.735,0.02788605475101004,MYL12A
1.087286090829703e-6,0.4188290784412179,0.605,0.357,0.03178789615149719,LINC00486
1.09424557876912e-6,-0.49779746007893144,0.51,0.796,0.031991363740893994,RALYL
1.1280215689283347e-6,0.5077082745462485,0.905,0.714,0.03297883858918879,COX7A1
1.2538647762896504e-6,-0.3833286395515057,0.19,0.439,0.03665799059960422,AGPAT3
1.2844729927983764e-6,0.4700788628368059,0.519,0.245,0.037552852417453333,AL133257.1
1.3844317702692037e-6,0.8517490414160576,0.443,0.184,0.04047524723559044,PDE1A
1.4170014421326702e-6,-0.3098630290538638,0.057,0.245,0.04142745416219075,HIP1
1.5682047262457847e-6,-0.4513553675666726,0.867,0.949,0.04584803337652176,NEXN
1.586288018961301e-6,0.41032537192952295,0.61,0.306,0.0463767165223526,ENO3
1.6119596685283082e-6,0.43733253896919666,0.476,0.204,0.04712725286909362,AC023494.1
1.7338214909847034e-6,-0.39625320564099703,0.152,0.388,0.05069000511042879,STAT3
2.1849124540908495e-6,0.4156384970133793,0.448,0.173,0.06387810050780007,AASS
2.269517935892474e-6,-0.32440908439111715,0.319,0.622,0.06635162637375237,RORA
2.2755219065022957e-6,0.5811858099756726,0.267,0.041,0.06652715845850111,GRXCR2
