p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
4.163263063364243e-24,0.55277911116215,0.233,0.02,1.21717158920517e-19,ADH1B
2.4538562752484026e-21,0.4024442222236847,0.164,0.01,7.17409420631623e-17,SPOCK1
5.4301694405937947e-17,1.2482863140433191,0.658,0.276,1.5875643376520017e-12,DCN
6.299555026796855e-16,1.1326326741173989,0.973,0.719,1.8417379076343283e-11,MT-ND3
5.947640734032562e-15,1.1234161823229232,0.904,0.663,1.7388522450017597e-10,TIMP3
1.3825333645395397e-12,-1.0807748554215317,0.493,0.799,4.041974544567798e-8,NBEAL1
6.43458347883993e-12,1.4316070745970175,0.658,0.335,1.881214825873642e-7,IGFBP5
6.48960564019923e-12,0.8539709495640526,0.959,0.771,1.8973011049686468e-7,TXNIP
3.828548112820423e-11,0.7998192049199719,1,0.99,1.1193143262641789e-6,PLCG2
9.975457410952287e-11,0.9157069731101272,0.644,0.314,2.9164247286660106e-6,FKBP5
2.597578157327331e-10,0.7434538852004686,0.849,0.55,7.594279500762185e-6,MT-ND2
4.2185422161970497e-10,-0.9115467744511506,0.438,0.751,1.2333330023273695e-5,CLMN
1.0544992864767455e-9,0.6866237157169142,0.164,0.028,3.082934113943413e-5,MECOM
6.5564541469781795e-9,-1.052594950947557,0,0.332,1.9168449344105407e-4,XIST
9.578015213941518e-9,0.4111750244482047,0.205,0.048,2.8002285279479425e-4,WNT6
1.2724222184916363e-8,0.31600422378307197,0.178,0.037,3.720053597982148e-4,IGFBP6
1.2807181234112232e-8,1.0030946538132377,0.658,0.399,3.744307505605052e-4,ADIRF
1.6307664779453547e-8,-0.766679327499781,0.507,0.779,4.767708874921039e-4,CAMK2D
1.6726275392022576e-8,-1.0407054245562235,0.671,0.851,4.89009387361172e-4,PLCL1
1.7107657014667093e-8,0.3825261872179395,0.288,0.09,5.001594604808072e-4,RPS10
2.0207362657488123e-8,-0.808109741768579,0.192,0.524,5.907824546543227e-4,CDK14
2.4320693151296854e-8,0.5269130004782329,0.11,0.015,7.110397849713148e-4,TPO
2.4642028323848832e-8,-0.8879809113368555,0.26,0.568,7.204343400760444e-4,FILIP1
2.4761541067197813e-8,0.5060159694928758,0.329,0.111,7.239284146405953e-4,SYN3
2.7726661380154728e-8,0.3717109044601036,0.205,0.05,8.106166721102037e-4,BMX
4.232123358709126e-8,0.8506705108307637,0.151,0.029,0.0012373035851522,ST6GALNAC3
4.424083042766592e-8,-0.40854964820613926,1,1,0.0012934249183832408,MALAT1
4.936476090892026e-8,0.4985365345514811,0.466,0.206,0.0014432281499331928,PLAC9
6.507130010144162e-8,-0.8096433063341186,0.26,0.561,0.0019024245297657473,PDE1A
7.217389119382095e-8,0.5695336473286771,0.123,0.021,0.0021100758829425493,RGCC
1.298798836107579e-7,0.7654973556872,0.795,0.606,0.003797168277244118,MT-ND1
1.5667474226378761e-7,-0.8447709613878529,0.301,0.593,0.004580542764824095,PALM2-AKAP2
1.7724731365507564e-7,0.48537764030447794,0.342,0.133,0.005182002462019791,AC002546.1
2.5046694120638324e-7,0.5492487566219082,0.575,0.307,0.007322651493109821,PTH1R
2.5875319629680856e-7,-0.7696293781334651,0.548,0.748,0.007564908446933495,FRY
2.639028971280248e-7,0.6350952126305467,0.986,0.905,0.007715465100434933,MT-CO3
3.0452651021408687e-7,0.2893954665678472,0.178,0.044,0.008903137052619043,S100A10
3.106099291372583e-7,0.7141942477333219,0.959,0.869,0.009080991888256883,MT-CO2
9.888546348726817e-7,-0.6521258834454571,0.123,0.455,0.028910154105137722,DAB1
1.6283814694265372e-6,0.3864957436377421,0.37,0.162,0.047607360640154243,PLXND1
1.8387430519985958e-6,-0.6585171789555133,0.795,0.949,0.05375749186823095,LHFPL6
1.91944925559809e-6,0.4261486362945287,0.288,0.109,0.05611701843666576,NGF-AS1
2.0520574887469507e-6,0.7304033159922341,0.849,0.715,0.05999395274100585,MT-CYB
2.1098991437722394e-6,0.286345004045344,0.26,0.089,0.06168501136732519,ALOX12-AS1
2.1691569267161347e-6,-0.5810358898777981,0.63,0.859,0.06341747190947292,GUCY1A2
2.175390703949931e-6,0.855356436121284,0.726,0.595,0.06359972262068019,RPL41
2.203558310809291e-6,-0.8421160132672517,0.329,0.598,0.06442323077482043,COL4A1
2.2149292325913564e-6,0.5971465168315094,0.192,0.057,0.0647556710440409,MIR100HG
2.216881692462432e-6,-0.5972105672387149,0.438,0.691,0.06481275316083167,SEPTIN7
2.929846820258867e-6,0.2550823753632887,0.11,0.021,0.08565700163708824,BTNL9
3.247308165898168e-6,-0.7736878633263703,0.164,0.452,0.09493830153819884,IL1RAPL1
3.4456498184655934e-6,-0.7005835985142912,0.274,0.521,0.10073701809266009,TMEM165
3.455011056889582e-6,-0.527600013621599,0.534,0.805,0.10101070325922383,ADAMTS9-AS2
4.6316921384066445e-6,0.357828548724079,0.342,0.144,0.13541215135845666,TPCN1
4.632963793676008e-6,0.55793850885007,0.63,0.417,0.13544932947191177,RPL37A
5.342609662864636e-6,-0.6111889157829462,0.575,0.814,0.1561965361035105,CPE
5.4704196445698404e-6,0.3592051129833205,0.274,0.106,0.15993318872864384,MT-ATP8
5.90760552257619e-6,0.5857012006937418,0.63,0.399,0.1727147550580375,RPS25
5.930092954411009e-6,0.35290970645184133,0.137,0.032,0.17337219761516026,LINC02147
9.14085097386426e-6,-0.6708300146174291,0.205,0.47,0.2672419190718955,ARID5B
1.0028359355355253e-5,0.44629315302116057,0.438,0.23,0.29318911411316617,COX7B
1.143033022036176e-5,-0.7113993260868108,0.315,0.591,0.3341771343224964,SYNPO2
1.1691935699459504e-5,0.5557416535374519,0.411,0.21,0.3418254321093981,GGT5
1.192212318005819e-5,0.5754072230380819,0.521,0.304,0.34855519329218126,TIMP1
1.2987054854357132e-5,0.5977354716945863,0.452,0.23,0.3796895357219851,PDK4
1.3370852789491112e-5,0.3450045083664953,0.123,0.029,0.3909102521535622,ELMO1
1.4810211420431977e-5,-0.5237864096541718,0.945,0.961,0.4329913410877493,IGFBP7
1.5780896941238897e-5,0.30984098455995557,0.219,0.078,0.4613703029740604,ANAPC11
1.8426751129102723e-5,0.6861854790425115,0.836,0.702,0.5387244960104473,MT-ND4
1.9814819106102668e-5,0.6042849649376856,1,0.888,0.5793060513860177,MT-ATP6
2.2307517221695037e-5,0.37778437509087076,0.137,0.036,0.6521825734934761,SLC9A3R2
2.3842197293035326e-5,-0.7007853016385643,0.493,0.728,0.6970504800591808,PDE7B
2.4715671116257358e-5,0.5022205189476527,0.479,0.275,0.7225873607549002,SPRY1
2.6563765646755682e-5,-0.5874393755623004,0.288,0.509,0.7766182524485491,LRRFIP1
2.7201844591288904e-5,-0.5049931890659733,0.151,0.411,0.7952731284709224,STAT3
2.766025940877708e-5,0.3134122638954365,0.164,0.05,0.8086753440750066,DTNA
3.047595770766355e-5,0.29571026216197766,0.178,0.058,0.8909950995412516,STUM
3.1855888519106786e-5,0.5577732422205417,0.534,0.328,0.931338756744606,RPS28
3.444826947276768e-5,0.4180179698616397,0.37,0.18,1,ACTA1
3.843287715437023e-5,-0.6906906953335424,0.137,0.366,1,OSMR
4.016103078226162e-5,-0.5258010757939758,0.274,0.512,1,MYO1D
4.017468125411477e-5,0.3181704499007419,0.219,0.084,1,H1FX
4.119439786668336e-5,-0.5262835723175632,0.26,0.504,1,RFTN1
4.576077184245529e-5,0.2735965740978249,0.233,0.09,1,COX17
4.693764513298591e-5,-0.5584796819809048,0.644,0.851,1,PTPRK
4.8010899319475093e-5,0.8242436591700508,0.63,0.483,1,AC012409.2
4.865240509363676e-5,-0.4404336988351407,0.082,0.312,1,RSU1
5.094450446073246e-5,-0.5493150778616815,0.082,0.299,1,MICAL2
5.552323572159419e-5,-0.4002843495062509,0.616,0.794,1,APBB2
6.875093429082017e-5,0.2793530994817603,0.247,0.102,1,KRT10
7.165467755710782e-5,-0.4566888568765173,0.616,0.794,1,GPHN
7.553088222578923e-5,-0.5048603485225374,0.315,0.562,1,PREX2
8.094404537466804e-5,0.45397426613433145,0.575,0.374,1,GJC1
8.178673940187526e-5,-0.40608219404436385,0.068,0.276,1,C1QTNF1
8.282312962565743e-5,0.2784915317996072,0.137,0.04,1,ZFY
9.755281203174587e-5,-0.5654844987073584,0.685,0.81,1,MYO1B
1.0492439337806512e-4,-0.48071217782818476,0.274,0.525,1,MIR4435-2HG
1.0955856621531346e-4,0.42375392794337885,0.342,0.178,1,PROCR
1.2144448016037355e-4,0.3222915384759748,0.219,0.086,1,USP9Y
1.3133693564691578e-4,0.36628873625304137,0.123,0.035,1,ID1
1.3162197882867773e-4,0.4176058806055287,0.11,0.028,1,VWF
1.3436550178294924e-4,0.6526013274742875,0.685,0.529,1,TMSB4X
1.363729801554195e-4,-0.46122374823682455,0.055,0.245,1,TGFBI
1.456948000307714e-4,0.5444003344399516,0.425,0.257,1,RPL37
1.4580087499769942e-4,0.25322607176640527,0.26,0.112,1,OST4
1.591703979920648e-4,0.419220867067893,0.356,0.191,1,GNG11
1.7062332821027738e-4,0.3740021149114011,0.219,0.094,1,AC005856.1
1.713596337328512e-4,-0.6001692461606659,0.329,0.531,1,FGD4
1.7565175282953762e-4,1.37548199755319,0.589,0.422,1,APOD
1.776076863206435e-4,0.3595837123751508,0.137,0.042,1,EMCN
1.8357889253146196e-4,0.28803341752851674,0.178,0.065,1,TSEN15
1.9006563678180104e-4,0.3322502358857483,0.315,0.155,1,AL158152.1
1.923293672903526e-4,0.46533876080907854,0.616,0.458,1,RPS16
2.0160613700367182e-4,0.6774411615179199,0.384,0.217,1,MUSTN1
2.040053938727754e-4,-0.4709867171767218,0.082,0.276,1,MAN1A1
2.16250648167307e-4,0.27765846115496623,0.26,0.118,1,NAA38
2.2221839774528397e-4,0.3790111165410849,0.438,0.255,1,RPS29
2.2371908015725382e-4,-0.4625744773605214,0.781,0.901,1,ABCC9
2.2700406310906943e-4,0.5755111382980194,0.493,0.352,1,RPS27
2.301016198358245e-4,-0.5154098513521691,0.219,0.417,1,CYTH3
2.4065233360644246e-4,-0.4533283191801647,0.616,0.779,1,AUTS2
2.4432515634155064e-4,-0.4592988713123322,0.027,0.199,1,BACH2
2.477875170480903e-4,-0.5219400697886422,0.301,0.505,1,PAWR
2.7324858049648516e-4,-0.4529424950986237,0.151,0.364,1,VCL
2.738976094288081e-4,0.33436957590009003,0.315,0.158,1,LMOD1
2.937669019130892e-4,0.5361650383066372,0.767,0.619,1,MFGE8
3.234639338431737e-4,-0.5074787312657995,0.26,0.469,1,EDNRB
3.4284118812232905e-4,0.2610803323003884,0.274,0.13,1,MT-ND4L
3.557821963038416e-4,-0.543108714966052,0.342,0.532,1,RB1
3.78707134230174e-4,0.39700229063501224,0.438,0.269,1,RPL31
3.991615174028291e-4,-0.5459683691052923,0.658,0.79,1,ARHGAP26
4.00640697693241e-4,0.3122995025283619,0.11,0.031,1,CLSTN2
4.0290443216714456e-4,0.25797618367233677,0.178,0.069,1,TBX3
4.1681022118216025e-4,-0.46190410431681805,0.205,0.419,1,GAB1
4.650209099400283e-4,0.2968102965583067,0.151,0.054,1,LIMCH1
4.993739590908158e-4,-0.46846909313602847,0.493,0.708,1,INPP4B
5.042133063487037e-4,0.4629734276854131,0.37,0.22,1,RPL38
5.351719095129106e-4,0.2798342260598908,0.356,0.195,1,LINC00486
5.481714353212621e-4,-0.7689558389306419,0.151,0.333,1,LINC01091
