p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
4.17E-198,-1.562624804,0,0.601,1.22E-193,XIST
2.90E-156,-1.526386946,0.478,0.83,8.47E-152,LINC02208
6.66E-102,-1.224274253,0.593,0.849,1.95E-97,ANKRD1
2.89E-124,-0.94958829,0.576,0.835,8.45E-120,CHRM2
1.61E-82,-0.937164306,0.348,0.664,4.70E-78,KCNMB2
1.57E-95,-0.902278827,0.862,0.957,4.58E-91,PALLD
1.20E-149,-0.895592988,0.161,0.665,3.52E-145,ENOX1
6.23E-30,-0.889061245,0.387,0.57,1.82E-25,XIRP2
8.90E-28,-0.856109609,0.078,0.236,2.60E-23,MIR646HG
6.43E-180,-0.746351473,0.988,0.998,1.88E-175,MALAT1
9.76E-105,-0.742250797,0.135,0.534,2.85E-100,SLC27A6
1.99E-40,-0.727497726,0.154,0.381,5.81E-36,CREB5
1.00E-63,-0.723735884,0.155,0.463,2.92E-59,MYH6
7.73E-60,-0.711645945,0.23,0.519,2.26E-55,LINC01151
5.00E-47,-0.673796047,0.359,0.607,1.46E-42,AC093912.1
1.96E-102,-0.673605464,0.82,0.938,5.72E-98,DLG2
4.13E-105,-0.672532857,0.295,0.694,1.21E-100,SCN5A
2.97E-93,-0.665647294,0.573,0.833,8.69E-89,LDLRAD4
6.88E-66,-0.660600158,0.706,0.894,2.01E-61,AC092353.2
1.27E-104,-0.652667168,0.187,0.591,3.70E-100,CCDC93
3.82E-37,-0.64649164,0.136,0.354,1.12E-32,GPC5
9.46E-38,-0.639439002,0.266,0.496,2.76E-33,JAK2
3.18E-64,-0.626499789,0.27,0.587,9.31E-60,LINC02147
2.56E-85,-0.598024563,0.299,0.65,7.48E-81,JPH2
5.09E-70,-0.594950106,0.228,0.564,1.49E-65,AC002460.2
1.23E-85,-0.593989976,0.467,0.77,3.61E-81,MYOM3
4.85E-100,-0.58544382,0.001,0.369,1.42E-95,TSIX
3.89E-82,-0.573886249,0.541,0.815,1.14E-77,PPP2R3A
1.02E-34,-0.557942746,0.294,0.497,2.97E-30,PDLIM3
5.46E-99,-0.55450226,0.914,0.967,1.60E-94,MYBPC3
2.13E-96,-0.5473174,0.77,0.927,6.23E-92,LMO7
1.76E-53,-0.540806775,0.115,0.386,5.14E-49,KLRD1
2.60E-84,-0.539165991,0.844,0.952,7.60E-80,NEXN
3.42E-67,-0.536731584,0.576,0.827,1.00E-62,AC097522.2
6.16E-51,-0.515460709,0.193,0.462,1.80E-46,COL23A1
3.02E-32,-0.513552502,0.034,0.197,8.82E-28,CADM2
2.09E-74,-0.504499108,0.721,0.888,6.11E-70,RASAL2
3.29E-04,-0.499689825,0.696,0.792,1,MYO18B
2.48E-67,-0.497411532,0.306,0.632,7.25E-63,NAV2
2.53E-48,-0.495588633,0.48,0.759,7.39E-44,RALYL
1.25E-61,-0.492176369,0.987,0.997,3.64E-57,TTN
1.99E-17,-0.488448086,0.132,0.261,5.82E-13,MYH9
1.24E-68,-0.484281847,0.707,0.874,3.63E-64,FNDC3B
1.00E-67,-0.476736636,0.844,0.932,2.92E-63,SNHG14
3.65E-37,-0.47201942,0.663,0.792,1.07E-32,SPHKAP
6.46E-49,-0.456114672,0.325,0.593,1.89E-44,RORA
2.30E-39,-0.450627213,0.18,0.411,6.72E-35,MGAT4C
1.22E-61,-0.449905763,0.268,0.576,3.57E-57,ATP8A1
6.79E-40,-0.448732826,0.771,0.93,1.99E-35,AKAP6
1.61E-67,-0.445560583,0.93,0.96,4.72E-63,LDB3
1.57E-39,-0.442890008,0.342,0.567,4.60E-35,SYNDIG1
1.02E-72,-0.439999335,0.886,0.949,2.98E-68,PTPRM
1.01E-57,-0.433853554,0.378,0.664,2.94E-53,AHI1
9.62E-36,-0.433152873,0.25,0.479,2.81E-31,KCNMB2-AS1
4.52E-48,-0.432796523,0.406,0.66,1.32E-43,AC009264.1
6.57E-37,-0.427998472,0.359,0.58,1.92E-32,AC073475.1
1.29E-34,-0.427349492,0.249,0.471,3.78E-30,ZNF208
4.22E-51,-0.426112188,0.596,0.816,1.23E-46,PHLDB2
6.75E-37,-0.424554143,0.684,0.843,1.97E-32,OBSCN
1.58E-29,-0.424454477,0.605,0.767,4.61E-25,AC018464.1
6.77E-30,-0.422439032,0.807,0.916,1.98E-25,PXDNL
1.32E-45,-0.421359532,0.195,0.456,3.86E-41,CRIM1
4.34E-58,-0.420187528,0.466,0.738,1.27E-53,KIF13A
1.04E-59,-0.419805009,0.225,0.532,3.04E-55,SOS2
7.44E-15,-0.417270332,0.4,0.537,2.17E-10,DLG1
1.28E-58,-0.41700894,0.279,0.587,3.73E-54,EFCAB2
1.15E-59,-0.414615026,0.289,0.587,3.36E-55,RNF207
5.28E-20,-0.414337586,0.204,0.352,1.54E-15,RRAS2
2.16E-53,-0.409424801,0.147,0.424,6.31E-49,AL009177.1
1.98E-41,-0.409160596,0.246,0.488,5.80E-37,NMD3
4.60E-17,-0.404514231,0.073,0.193,1.34E-12,LINC02506
6.79E-26,-0.40213447,0.024,0.156,1.99E-21,LINC02315
4.72E-67,-0.401941369,0.093,0.406,1.38E-62,POLR2J3
3.15E-26,-0.401204977,0.214,0.393,9.21E-22,FBN2
8.97E-49,-0.400286329,0.438,0.686,2.62E-44,BMPR1A
5.69E-35,-0.399436453,0.37,0.592,1.66E-30,MIR1-1HG
1.21E-62,-0.398539699,0.332,0.642,3.53E-58,PNISR
0.023350922,-0.396635156,0.716,0.758,1,PDE4D
3.92E-18,-0.393978238,0.247,0.393,1.15E-13,DCBLD2
1.71E-53,-0.392856189,0.876,0.971,4.99E-49,DST
9.68E-43,-0.39144249,0.165,0.419,2.83E-38,STAT3
5.59E-52,-0.390577389,0.251,0.531,1.63E-47,REEP1
2.17E-21,-0.389960564,0.303,0.463,6.34E-17,LINC02248
9.09E-42,-0.389840921,0.427,0.663,2.66E-37,VLDLR-AS1
1.11E-33,-0.387752876,0.093,0.287,3.25E-29,IFNG-AS1
1.13E-13,-0.386757227,0.049,0.138,3.31E-09,AL512603.2
1.68E-24,-0.386045019,0.26,0.437,4.91E-20,DUSP27
4.70E-40,-0.385930258,0.02,0.206,1.38E-35,LINC02822
4.38E-28,-0.3840912,0.677,0.836,1.28E-23,TMEM71
1.07E-57,-0.380207521,0.877,0.948,3.14E-53,LPP
1.37E-19,-0.378287081,0.787,0.926,4.02E-15,FILIP1
8.84E-33,-0.37691724,0.291,0.495,2.58E-28,C6
3.32E-34,-0.376683684,0.704,0.859,9.70E-30,LTBP1
2.01E-37,-0.370534957,0.093,0.3,5.86E-33,UBA6-AS1
2.72E-26,-0.368317916,0.684,0.825,7.94E-22,NIBAN1
6.32E-31,-0.367758144,0.434,0.609,1.85E-26,SLC5A1
