p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
0,1.9474949579815857,0.898,0.251,0,GPX3
1.039250745301719e-286,2.443542093824675,0.85,0.227,3.0383534789641055e-282,LINC01088
4.92263032325633e-284,1.238319744778902,0.675,0.064,1.4391802013072205e-279,CYP4B1
4.305696336992879e-258,2.501142788620611,0.988,0.801,1.258813381083238e-253,APOD
2.7819746957753e-231,1.5001420549203441,0.855,0.316,8.133381220568667e-227,MGST1
7.222381333488281e-224,1.8419656644422662,0.882,0.359,2.111535406658634e-219,MAMDC2
6.853739848193185e-220,1.145701577387346,0.596,0.071,2.0037593820177596e-215,GALNT15
1.4786844437464713e-210,0.8766853371162717,0.489,0.03,4.3230818397371836e-206,"NAA11"
7.447102181843279e-194,1.321610029842382,0.916,0.547,2.177234793883701e-189,NID1
2.2428478588121957e-187,1.209929441750068,0.794,0.276,6.557190000023335e-183,APCDD1
2.858029640965435e-181,1.6896553509771588,0.922,0.605,8.355735458326545e-177,PID1
2.72470790351867e-177,1.1937144426577369,0.833,0.359,7.965956026727184e-173,VIT
5.620795385398171e-176,1.060509716109248,0.747,0.229,1.6432957388750094e-171,GLUL
1.962264361643253e-173,1.2660738350201486,0.94,0.602,5.736876087700214e-169,PRELP
4.1117801958150534e-172,0.8914339948829331,0.558,0.093,1.202120058048489e-167,SERPINA3
3.1741824483479106e-160,0.9904577415951279,0.761,0.271,9.280039805989951e-156,TSC22D3
1.4366590266003712e-159,0.9188734142532807,0.49,0.07,4.200216330168845e-155,MOB3B
9.307249487755418e-159,1.1320587114037266,0.585,0.126,2.721067460240174e-154,MAMDC2-AS1
4.575613224947226e-156,0.7312128443722394,0.493,0.071,1.337726282445571e-151,HIF3A
1.793938115926242e-155,0.8539369801726294,0.561,0.105,5.244757475721961e-151,UTY
3.0763636017709275e-154,0.9232390891776379,0.634,0.158,8.994056626137483e-150,EDNRB
4.752060189242327e-149,1.1507850621068694,0.843,0.461,1.3893123169268867e-144,RPS27
1.925767895715622e-148,0.6935989530020499,0.48,0.072,5.630175019914193e-144,SHISA3
7.235879141063718e-148,-0.6396233615240785,0.998,1,2.115481625681389e-143,MALAT1
1.1079904671807104e-147,1.0324742211318565,0.999,0.972,3.239320929849525e-143,DCN
7.442181224996982e-146,0.9938711468955357,0.994,0.98,2.1757961029401175e-141,PLCG2
4.1410443324373136e-145,1.223237487967358,0.705,0.248,1.210675721031373e-140,MUSK
4.0500436391018515e-144,0.7378771493166457,0.602,0.155,1.1840707583278172e-139,RPS10
2.5208784642268405e-143,-1.3630543990197634,0,0.522,7.37004027801359e-139,XIST
4.132254463586326e-143,1.9075871767968404,0.692,0.292,1.2081059149740984e-138,ADH1B
4.60756750121195e-140,-1.5432781012058616,0.566,0.851,1.3470684346543256e-135,LUM
6.027482404947002e-138,0.9895382698054576,0.577,0.153,1.7621947559103056e-133,ACSM1
9.25359505644078e-137,1.061079806454312,0.938,0.673,2.7053810507010264e-132,RPL41
2.97834249311368e-135,1.056047787620331,0.668,0.245,8.707482112867155e-131,THUMPD1
1.269193466408961e-134,1.026434107503261,0.701,0.252,3.710614018393238e-130,DOCK5
7.4258682887215135e-132,1.528745288660978,0.868,0.506,2.1710268528906217e-127,ACSM3
1.6713588121929158e-130,-1.462958911133064,0.451,0.824,4.886384623327209e-126,CCDC80
6.319581972009688e-128,0.7758588842609182,0.453,0.081,1.8475929853367523e-123,VEGFD
8.372876565553103e-120,0.7152424647703146,0.451,0.086,2.4478941927051054e-115,SLC66A1L
9.667775723615539e-119,0.807870716258873,0.785,0.371,2.826470910556239e-114,RPS29
