p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
9.745041513596197e-152,2.1407743184130954,0.787,0.171,2.849060336914984e-147,LINC00278
7.484978623987732e-106,1.0543262796715516,0.722,0.185,2.1883083505090533e-101,UTY
7.94245150468983e-102,1.187405275121337,0.669,0.17,2.3220551219111185e-97,DEPTOR
2.780912668517866e-97,0.9018456785707393,0.389,0.03,8.130276277678832e-93,DLGAP2
3.377449140192585e-96,0.9221741066073016,0.495,0.072,9.874310306267042e-92,ADAMTS2
7.58082283258694e-96,0.9622607493063748,0.646,0.162,2.2163293633351177e-91,AL034397.3
1.1636097583421474e-85,1.0956587763385053,0.637,0.174,3.401929489489102e-81,DAAM2
1.324471532338138e-85,1.4416399338655,0.891,0.58,3.87222497194378e-81,MS4A4E
6.442923523340439e-83,1.1207989835495042,0.81,0.397,1.8836531212838108e-78,C2CD5
2.929705361202158e-82,1.2542452111237805,0.85,0.389,8.565286594010628e-78,CSGALNACT1
1.8926130965548816e-80,1.6037107500708703,0.789,0.425,5.533243649087852e-76,WDR26
2.8190261848022784e-80,-0.8463074490768587,0.995,0.999,8.241704953887941e-76,MALAT1
3.265979076781883e-80,1.1943396983450416,0.882,0.461,9.548416428879514e-76,CPM
4.146299031283176e-78,1.6260920905262544,0.817,0.444,1.2122119847859493e-73,KCNMA1
1.1158546793804047e-77,1.0081247106819167,0.674,0.239,3.2623127406365514e-73,DLEU1
1.631365196860488e-77,0.5206457928092629,0.444,0.073,4.7694592895413225e-73,METTL7A
3.858535843019945e-77,0.8651220309951786,0.567,0.146,1.1280815390653112e-72,KCNE1
8.428625928975262e-76,-2.44085828113651,0.153,0.64,2.4641930765952078e-71,"NAMPT"
7.805466055337988e-75,1.2049335767195206,0.954,0.832,2.282006055938614e-70,FKBP5
1.1112738952944788e-73,0.6609167284314348,0.505,0.112,3.248920360282938e-69,AC053513.1
2.2433935048185164e-72,0.6149885596911928,0.428,0.074,6.558785250687415e-68,S100A9
1.9680908405691676e-70,1.0885085407494954,0.84,0.471,5.753910381488018e-66,VSIG4
2.2169486162861678e-70,1.039970911076776,0.845,0.498,6.48147097457424e-66,PRKAG2
4.827580678147647e-69,-1.3284754397353065,0,0.481,1.4113914870632461e-64,XIST
6.480860340398495e-68,0.7744860893557679,0.785,0.363,1.894744329118904e-63,CD302
1.5382422757674606e-65,0.9743459438306799,0.981,0.813,4.497205117433748e-61,CD163
6.434813708052042e-65,0.9606470321869256,0.877,0.547,1.881282135686095e-60,SMAP2
8.523466552948932e-65,0.41701266136210635,0.331,0.041,2.49192068142015e-60,VNN2
1.7735933735687174e-64,0.8846644659809909,0.806,0.404,5.185277586965502e-60,SESN1
2.6031001824390957e-64,0.6575370804349203,0.558,0.167,7.61042369337894e-60,PDCD4
1.2622147659691152e-63,0.7100083165106289,0.523,0.143,3.690211089787305e-59,USP9Y
6.940847084176519e-63,0.7710279150163171,0.757,0.363,2.029226053529847e-58,TLR4
4.973401780521039e-62,0.9947814802092683,0.539,0.164,1.4540237445531308e-57,GFOD1
4.6002045198771775e-61,0.8614082916487258,0.63,0.236,1.3449157934312917e-56,MDFIC
9.854794306495867e-61,1.0576188257888537,0.792,0.436,2.8811476634471316e-56,LYVE1
1.51354858953246e-59,0.6765327416621255,0.347,0.059,4.4250106563571e-55,CNIH3
6.403923395877073e-59,0.8212670843959485,0.681,0.292,1.872251044018621e-54,DERA
8.308026276040289e-59,1.0137658518850459,0.799,0.466,2.4289345620631388e-54,WWP1
1.2348412835280986e-58,0.8123182143769028,0.66,0.267,3.610181976522749e-54,PTK2B
1.3721667755458239e-58,0.5208352599672446,0.444,0.105,4.0116667849857705e-54,EVI2B
6.65886466146286e-57,0.9109841981988613,0.868,0.604,1.9467856724252817e-52,FCHO2
2.5134760358885994e-56,0.6106292302522163,0.308,0.045,7.348398538523909e-52,SEMA6A
2.3008335182401927e-55,0.8440086190130389,0.938,0.795,6.726716873927028e-51,CELF2
3.98846234120176e-55,0.500488488657088,0.303,0.044,1.1660668500737464e-50,AL392172.2
1.2231399493006477e-53,0.7018025202585554,0.637,0.257,3.575971955775374e-49,GPR34
1.2851067279048906e-53,0.8750562198066152,0.269,0.034,3.757138029702738e-49,ADGRL2
1.3318090000232458e-53,1.027712723496871,0.887,0.693,3.8936767924679614e-49,DLEU2
1.379699418654686e-52,0.8950409065036768,0.882,0.61,4.0336892203788395e-48,IRAK3
1.6150250332026765e-52,0.8945564180761824,0.771,0.431,4.721687187071345e-48,FAM13A
