p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
2.00E-130,1.995194045,0.843,0.277,5.84E-126,DCN
2.21E-100,1.716500086,0.843,0.338,6.47E-96,IGFBP5
3.97E-38,1.446217639,0.728,0.422,1.16E-33,APOD
1.31E-93,1.422295813,0.961,0.664,3.82E-89,TIMP3
1.32E-69,1.236792933,0.843,0.486,3.85E-65,AC012409.2
1.30E-65,1.125909936,0.799,0.399,3.80E-61,ADIRF
1.09E-48,1.124173133,0.816,0.493,3.18E-44,ZFHX3
3.74E-58,1.103216208,0.966,0.817,1.09E-53,PLA2G5
2.52E-85,1.100822416,0.998,0.99,7.37E-81,PLCG2
1.69E-48,1.001756836,0.686,0.317,4.93E-44,FKBP5
1.08E-49,0.959826347,0.951,0.718,3.15E-45,MT-ND3
7.65E-76,0.95242151,0.77,0.312,2.24E-71,PTH1R
1.08E-40,0.92615649,0.782,0.505,3.16E-36,BMP5
2.43E-48,0.924313935,0.699,0.333,7.11E-44,CD38
2.06E-93,0.905680423,0.387,0.02,6.02E-89,ADH1B
5.48E-47,0.894304581,0.672,0.307,1.60E-42,TIMP1
1.06E-65,0.884884349,0.591,0.179,3.11E-61,PROCR
6.08E-43,0.882051303,0.931,0.823,1.78E-38,PDZD2
5.17E-27,0.872976342,0.723,0.441,1.51E-22,MGP
2.10E-41,0.872790911,0.926,0.84,6.14E-37,PDE1C
9.43E-52,0.849134018,0.782,0.412,2.76E-47,HIGD1B
2.52E-36,0.836623778,0.782,0.497,7.36E-32,PBX1
4.07E-35,0.82948897,0.512,0.218,1.19E-30,MUSTN1
1.33E-40,0.817923792,0.297,0.056,3.89E-36,MIR100HG
3.59E-53,0.808240991,0.4,0.078,1.05E-48,THSD7A
1.60E-56,0.807404984,0.473,0.113,4.69E-52,SYN3
7.61E-46,0.807023849,0.762,0.402,2.22E-41,RIPOR3
2.38E-46,0.806562552,0.564,0.21,6.95E-42,SLC39A11
4.91E-30,0.800682983,0.865,0.619,1.43E-25,CST3
3.76E-49,0.796802916,0.73,0.355,1.10E-44,RPS27
6.19E-37,0.789788897,0.939,0.785,1.81E-32,PTEN
9.85E-59,0.787396923,0.613,0.209,2.88E-54,PLAC9
9.70E-45,0.786577649,0.98,0.938,2.84E-40,SPARCL1
6.31E-58,0.773199023,0.449,0.097,1.84E-53,COLGALT2
3.20E-38,0.768400474,0.924,0.811,9.34E-34,SOX5
3.74E-33,0.751872267,0.539,0.252,1.09E-28,AL499616.1
1.96E-27,0.745227864,0.444,0.187,5.74E-23,PCSK5
1.77E-31,0.73346622,0.755,0.45,5.18E-27,NGF
2.87E-48,0.732477123,0.613,0.243,8.40E-44,DENND3
7.69E-32,0.727757087,0.767,0.459,2.25E-27,BCAS3
1.39E-64,0.719387638,0.341,0.037,4.06E-60,IGFBP6
4.95E-41,0.719080142,0.897,0.62,1.45E-36,MFGE8
1.48E-28,0.717845995,0.779,0.528,4.32E-24,SLC16A12
2.51E-25,0.712741175,0.505,0.242,7.33E-21,EDA
5.47E-36,0.704832946,0.846,0.529,1.60E-31,TMSB4X
1.55E-27,0.700492461,0.385,0.142,4.54E-23,KCNQ3
6.44E-52,0.699367302,0.311,0.043,1.88E-47,ABTB2
7.42E-41,0.693242557,0.721,0.379,2.17E-36,GJC1
1.97E-50,0.690428362,0.581,0.211,5.76E-46,GGT5
6.82E-33,0.679723338,0.887,0.594,1.99E-28,RPL41
2.44E-50,0.671004233,0.248,0.02,7.15E-46,SCGN
1.23E-23,0.666448673,0.789,0.543,3.59E-19,TMTC1
3.70E-55,0.664733925,0.498,0.135,1.08E-50,AC002546.1
2.07E-27,0.646372042,0.806,0.511,6.05E-23,KALRN
3.13E-44,0.644077483,0.444,0.119,9.15E-40,CARMIL1
3.15E-31,0.642132572,0.936,0.771,9.20E-27,TXNIP
1.17E-46,0.639884066,0.419,0.109,3.42E-42,NGF-AS1
3.24E-46,0.639641817,0.436,0.116,9.47E-42,UTY
0.064439809,0.632754157,0.537,0.562,1,LAMA2
1.03E-50,0.620682434,0.328,0.05,3.01E-46,C7
3.17E-21,0.60772487,0.814,0.621,9.27E-17,ARHGAP42
1.26E-44,0.607218527,0.51,0.164,3.68E-40,ACE2
1.24E-32,0.599164147,0.748,0.418,3.64E-28,RPL37A
7.13E-18,0.598760901,0.784,0.597,2.08E-13,MSC-AS1
2.36E-30,0.592417518,0.733,0.42,6.90E-26,TNS1
4.94E-52,0.591907635,0.409,0.085,1.44E-47,USP9Y
1.71E-40,0.588511885,0.434,0.13,4.99E-36,SPATA6
5.28E-26,0.584398742,0.73,0.454,1.54E-21,RAPH1
3.41E-27,0.579252018,0.833,0.552,9.98E-23,MT-ND2
1.21E-21,0.574152663,0.37,0.156,3.53E-17,MAMDC2
6.84E-19,0.573765152,0.762,0.573,2.00E-14,NDUFA4L2
4.06E-23,0.572656686,0.363,0.139,1.19E-18,PID1
6.75E-18,0.570688466,0.853,0.701,1.97E-13,ADGRB3
1.80E-34,0.569839697,0.561,0.239,5.28E-30,PPP1CB
3.29E-21,0.566186274,0.716,0.473,9.62E-17,SETBP1
1.80E-36,0.563654125,0.578,0.255,5.28E-32,NDRG2
2.64E-45,0.560344398,0.196,0.01,7.72E-41,SPOCK1
9.82E-25,0.559707052,0.75,0.484,2.87E-20,NID1
2.44E-23,0.559093283,0.551,0.299,7.12E-19,CRIP1
2.50E-39,0.556255782,0.613,0.256,7.31E-35,RPS29
6.48E-28,0.553081344,0.983,0.896,1.89E-23,RGS5
1.35E-30,0.552683715,0.689,0.382,3.94E-26,PPP1R14A
2.16E-34,0.543282061,0.667,0.319,6.32E-30,ADCY5
2.23E-31,0.540739709,0.659,0.329,6.51E-27,RPS28
8.10E-19,0.53836039,0.752,0.537,2.37E-14,ADAMTSL3
2.56E-28,0.534440122,0.711,0.399,7.49E-24,RPS25
3.60E-44,0.531487912,0.228,0.021,1.05E-39,OVCH1-AS1
7.61E-30,0.529367444,0.581,0.289,2.22E-25,PTMS
5.45E-33,0.527450862,0.581,0.257,1.59E-28,RPL37
4.54E-20,0.527058803,0.456,0.233,1.33E-15,HMGCLL1
2.21E-25,0.525813011,0.691,0.408,6.47E-21,FN1
3.32E-39,0.524168338,0.277,0.048,9.70E-35,DIPK1C
1.29E-16,0.524093943,0.615,0.43,3.77E-12,AC106845.1
2.31E-12,0.522864013,0.779,0.655,6.76E-08,RAD51B
2.91E-24,0.515426519,0.694,0.414,8.51E-20,BTG1
1.04E-27,0.508512141,0.527,0.253,3.05E-23,IMPA2
3.95E-36,0.504716118,0.365,0.102,1.16E-31,TGFB3
7.77E-26,0.503987879,0.672,0.387,2.27E-21,RPL23A
1.14E-15,0.502589644,0.902,0.84,3.34E-11,FRMD3
1.57E-38,0.502493053,0.363,0.095,4.59E-34,AC005856.1
6.77E-25,0.502092771,0.723,0.438,1.98E-20,AC083870.1
5.43E-38,0.502037747,0.52,0.191,1.59E-33,GNG11
1.09E-11,0.501143287,0.194,0.076,3.17E-07,AC011246.1
2.54E-17,0.499700752,0.949,0.868,7.44E-13,MT-CO2
4.37E-16,0.497611541,0.676,0.473,1.28E-11,P2RY14
1.08E-15,0.496786156,0.855,0.696,3.15E-11,EBF2
3.27E-45,0.494488733,0.417,0.106,9.56E-41,MT-ATP8
2.20E-22,0.493793961,0.819,0.559,6.44E-18,EEF1A1
1.42E-15,0.48845048,0.816,0.665,4.15E-11,CARMN
5.23E-27,0.485137418,0.767,0.458,1.53E-22,RPS16
3.77E-17,0.48427231,0.664,0.435,1.10E-12,MIR99AHG
7.80E-16,0.481410236,0.877,0.765,2.28E-11,NR2F2-AS1
4.60E-30,0.47970332,0.539,0.248,1.35E-25,EPHX1
7.95E-27,0.477158701,0.314,0.097,2.32E-22,ANGPT1
7.17E-16,0.472537413,0.877,0.715,2.09E-11,MT-CYB
4.44E-17,0.471392839,0.821,0.635,1.30E-12,NFIB
5.43E-29,0.471142797,0.505,0.22,1.59E-24,RPL38
2.38E-17,0.470660234,0.733,0.502,6.95E-13,EPAS1
2.04E-47,0.470300258,0.4,0.091,5.96E-43,RPS10
7.84E-16,0.469308171,0.483,0.281,2.29E-11,CCDC102B
5.57E-16,0.467451874,0.843,0.666,1.63E-11,MKLN1
1.11E-24,0.466121398,0.485,0.215,3.24E-20,DSE
3.10E-36,0.464194929,0.377,0.106,9.08E-32,ARHGEF28
3.26E-18,0.463221556,0.689,0.456,9.52E-14,GJA4
8.69E-17,0.456689027,0.868,0.606,2.54E-12,MT-ND1
1.96E-31,0.454561476,0.257,0.055,5.73E-27,ZNF423
3.08E-13,0.45396519,0.439,0.259,9.00E-09,LINC01619
1.17E-11,0.453835551,0.64,0.474,3.43E-07,UNC5C
2.35E-20,0.452410493,0.686,0.421,6.87E-16,MT2A
