"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FGF12",5.39970840438635e-229,0.862973394591771,0.995,0.931,1.57865874910639e-224
"FHL2",1.96841507041837e-187,0.815873775468921,0.987,0.918,5.75485829987513e-183
"SLC5A1",1.53817609290573e-148,0.58770399525276,0.772,0.421,4.49701162521919e-144
"SLC27A6",2.86367162007147e-148,0.640047220239086,0.664,0.29,8.37223034844095e-144
"AL592183.1",1.3767454764485e-146,0.502559336403363,0.557,0.175,4.02505307494484e-142
"PSD3",1.60118279975225e-146,0.537669451672161,0.975,0.897,4.68121803335566e-142
"LDB3",1.38688291319779e-130,0.498158193404736,0.994,0.927,4.05469088502505e-126
"KCND3",4.10269223479652e-125,0.569826603421185,0.842,0.548,1.19946310176511e-120
"PPP1R12B",1.60755904400285e-119,0.499609205543019,0.987,0.905,4.69985962104672e-115
"MYLK3",2.0336521713035e-117,0.500607161349277,0.917,0.697,5.94558548802292e-113
"SLC25A36",3.15640345580302e-115,0.424765026201831,0.949,0.778,9.2280611433857e-111
"TMEM178B",5.18144432557954e-114,0.586938926396465,0.943,0.686,1.51484706302643e-109
"AC004879.1",1.33240327571798e-112,-0.883120676482883,0.592,0.749,3.89541421688907e-108
"CACNB2",9.03230205184779e-110,0.457732070886161,0.981,0.88,2.64068382787822e-105
"CDH13",7.4682717213583e-109,0.493661569699012,0.971,0.864,2.18342392045631e-104
"DPF3",6.63465818466883e-107,0.472960249014897,0.916,0.703,1.93970866686978e-102
"AC108058.1",1.68038757425134e-104,0.475895183893079,0.649,0.326,4.91278111208121e-100
"RYR2",3.73645453117171e-103,0.442329247070268,0.999,0.981,1.09238984673336e-98
"RBFOX1",6.22503097284064e-102,0.503988688741858,0.942,0.768,1.81995005521969e-97
"CCDC93",1.99713398399818e-101,0.475208022631749,0.681,0.384,5.83882091561708e-97
"MT-CO3",8.59478018679162e-95,-1.09985141465874,0.585,0.782,2.5127699354104e-90
"CHST9",1.80842559451809e-94,0.534069114876979,0.614,0.317,5.28711306813308e-90
"AC022034.3",5.01577843653133e-94,0.54802131583349,0.739,0.457,1.4664129837043e-89
"LINC01151",1.6142919687482e-93,0.669045455664789,0.621,0.343,4.71954399983223e-89
"PDZRN3",7.62532716163261e-93,0.4195115160316,0.957,0.836,2.22934064897491e-88
