"","Normal_p_val","Normal_avg_log2FC","Normal_pct.1","Normal_pct.2","Normal_p_val_adj","Chemo_p_val","Chemo_avg_log2FC","Chemo_pct.1","Chemo_pct.2","Chemo_p_val_adj","max_pval","minimump_p_val"
"ESRRG",4.59258004271692e-149,2.31659065453873,0.89,0.163,1.68093022143482e-144,2.58726604331566e-47,1.60334931039229,0.918,0.268,9.46965244513963e-43,2.58726604331566e-47,9.18516008543374e-149
"TRDN-AS1",8.86911855332281e-144,2.18072557846226,0.929,0.176,3.24618608170168e-139,1.77971819819418e-44,1.59440403423815,0.929,0.278,6.51394657721053e-40,1.77971819819418e-44,1.77382371066452e-143
"MLIP",8.61019843785449e-141,2.27787043842836,0.933,0.181,3.15141873023912e-136,3.63598954402147e-48,1.76955416160649,0.969,0.288,1.3308085330073e-43,3.63598954402147e-48,1.72203968757089e-140
"TECRL",9.79086694044829e-139,1.93216670033058,0.957,0.197,3.58355520887348e-134,2.25504036542727e-45,1.66183260593733,0.939,0.287,8.25367324150034e-41,2.25504036542727e-45,1.95817338808969e-138
"ERBB4",1.73665301877513e-131,2.06630110806242,0.89,0.174,6.35632371401885e-127,2.29398040041595e-38,1.59818028892415,0.878,0.275,8.39619766356241e-34,2.29398040041595e-38,3.4733060375503e-131
"MYBPC3",1.94395069516688e-131,1.92860978675308,0.962,0.222,7.11505393938028e-127,1.69512415450715e-44,1.58947227885423,0.939,0.299,6.20432391791163e-40,1.69512415450715e-44,3.88790139033374e-131
"RYR2",2.08730291815163e-131,2.64121874493692,0.99,0.272,7.63973741072678e-127,2.29981015405718e-44,1.78213155804097,0.99,0.335,8.41753514486468e-40,2.29981015405718e-44,4.17460583630339e-131
"MLIP-AS1",7.8765990381604e-131,1.61284333515679,0.814,0.142,2.88291401395709e-126,5.76258260340303e-33,1.15204668493232,0.765,0.237,2.10916285867154e-28,5.76258260340303e-33,1.5753198076321e-130
"MTUS2",1.11111382510672e-130,1.8041060249275,0.829,0.154,4.06678771127311e-126,4.69017013390639e-37,1.34037196828387,0.827,0.253,1.71664917071108e-32,4.69017013390639e-37,2.22222765021346e-130
"STK33",2.18204932411475e-129,1.72413031754936,0.824,0.151,7.98651873119241e-125,2.70149347581754e-20,0.862176814184376,0.663,0.24,9.88773627083977e-16,2.70149347581754e-20,4.36409864822951e-129
"SPHKAP",1.16021052054369e-128,1.71232837928356,0.79,0.144,4.24648652624196e-124,1.30438253631677e-39,1.45661565368952,0.837,0.245,4.77417052117302e-35,1.30438253631677e-39,2.32042104108741e-128
"LDB3",1.34980600369662e-128,2.12556738448648,0.981,0.266,4.94042495412999e-124,2.69369738657639e-39,1.59802952745055,0.918,0.306,9.85920180460826e-35,2.69369738657639e-39,2.69961200739328e-128
"CTNNA3",7.26420825183111e-127,2.40659997015065,0.943,0.237,2.6587728622527e-122,1.57665935966697e-33,1.55627914520178,0.918,0.318,5.77073092231708e-29,1.57665935966697e-33,1.45284165036624e-126
"SGCG",1.20987996597419e-126,1.68857933494093,0.838,0.16,4.42828166346213e-122,2.74555582891962e-35,1.31290537928448,0.806,0.257,1.00490088894287e-30,2.74555582891962e-35,2.41975993194839e-126
"AC138305.1",1.23944762246531e-125,1.81560133500557,0.8,0.149,4.53650224298529e-121,5.51575179389436e-41,1.58185445161291,0.837,0.247,2.01882031408328e-36,5.51575179389436e-41,2.47889524493057e-125
"FYB2",1.73351167694085e-124,1.50721203585653,0.8,0.141,6.34482608877122e-120,3.08241084812818e-30,1.08248645028746,0.735,0.224,1.12819319452339e-25,3.08241084812818e-30,3.4670233538818e-124
"DPY19L2",2.1250049245586e-124,1.68882945739025,0.862,0.173,7.77773052437694e-120,2.7040080449869e-43,1.31661519385858,0.929,0.278,9.89693984545657e-39,2.7040080449869e-43,4.25000984911721e-124
"LRRTM3",9.88048839372002e-124,1.73787132069117,0.814,0.158,3.61635755698547e-119,3.10348778816972e-23,0.862466042128794,0.714,0.243,1.135907565348e-18,3.10348778816972e-23,1.97609767874399e-123
"TRDN",2.29782367365927e-123,1.95816587000602,0.914,0.2,8.41026442796031e-119,7.75408324531949e-41,1.46208922606122,0.929,0.288,2.83807200861939e-36,7.75408324531949e-41,4.59564734731868e-123
"PRKAA2",3.47646615981356e-121,1.46391027574981,0.824,0.166,1.27242137915336e-116,2.83566950301716e-32,1.08900714970143,0.786,0.262,1.03788339479931e-27,2.83566950301716e-32,6.95293231962729e-121
"MIR133A1HG",4.13917491917664e-121,1.57166093398904,0.814,0.159,1.51497941216784e-116,3.577489412592e-28,0.798671308567865,0.673,0.213,1.3093968999028e-23,3.577489412592e-28,8.27834983835315e-121
"GALNT17",5.60090146143327e-121,1.7462584721498,0.819,0.156,2.04998594389919e-116,8.03124757753065e-36,1.25241064392586,0.786,0.241,2.93951692585199e-31,8.03124757753065e-36,1.12018029228667e-120
"CDH2",1.39565536317536e-120,1.95580914809048,0.91,0.204,5.10823819475814e-116,6.43011328494896e-37,1.34718408422086,0.908,0.29,2.35348576342417e-32,6.43011328494896e-37,2.79131072635075e-120
"ACTN2",6.11074683000895e-120,1.9016266574141,0.929,0.217,2.23659444725157e-115,1.20121031200735e-41,1.39915368772771,0.908,0.298,4.39654986297811e-37,1.20121031200735e-41,1.2221493660018e-119
"FGF12",7.75298497973458e-120,2.53159439596537,0.948,0.271,2.83767003243266e-115,1.00287510686109e-39,1.66116831866348,0.949,0.334,3.67062317862227e-35,1.00287510686109e-39,1.55059699594696e-119
"MYO18B",4.25719941420414e-119,1.61047959937464,0.8,0.149,1.55817755759286e-114,3.61089374914911e-32,0.801301668092449,0.806,0.249,1.32162322112606e-27,3.61089374914911e-32,8.5143988284085e-119
"HSPB7",9.04952997190265e-119,1.52699546376893,0.9,0.226,3.31221846501609e-114,9.54078429582435e-39,1.31807114505178,0.796,0.27,3.49202246011467e-34,9.54078429582435e-39,1.80990599438051e-118
"PLCXD3",2.37433161884981e-118,2.02808571732971,0.852,0.178,8.69029115815219e-114,3.61451756998755e-35,1.47272812133625,0.837,0.277,1.32294957579114e-30,3.61451756998755e-35,4.74866323769959e-118
"HACD1",4.33407268283055e-118,1.37242829746264,0.8,0.161,1.58631394264281e-113,1.13479417957114e-20,0.722996081363975,0.643,0.234,4.15346017664834e-16,1.13479417957114e-20,8.66814536566105e-118
"PLN",5.36718602414908e-118,1.81596943980938,0.967,0.301,1.9644437566988e-113,9.87612880078867e-44,1.49360516594992,0.908,0.33,3.61476190237666e-39,9.87612880078867e-44,1.07343720482979e-117
"RBM20",1.97911708201552e-117,2.21399707742842,0.91,0.225,7.24376643188501e-113,7.32869376715426e-39,1.51664638088773,0.918,0.29,2.68237520571613e-34,7.32869376715426e-39,3.95823416403114e-117
"FHOD3",3.40291301630961e-116,1.92586940423438,0.843,0.173,1.24550019309948e-111,2.68492574517381e-38,1.49435571489577,0.888,0.277,9.82709671991065e-34,2.68492574517381e-38,6.80582603261935e-116
"WNK2",7.47661263111781e-115,1.26424242191316,0.781,0.151,2.73651498911543e-110,1.44565090390468e-25,0.923423008250912,0.684,0.24,5.29122687338151e-21,1.44565090390468e-25,1.49532252622359e-114
"PPP1R9A",9.15610292612138e-115,1.40729307862722,0.795,0.155,3.35122523198968e-110,1.18970029980939e-31,1.20960068861403,0.786,0.26,4.35442206733233e-27,1.18970029980939e-31,1.83122058522428e-114
"MYL3",1.10470972271273e-114,1.70988099556101,0.957,0.336,4.04334805610088e-110,1.78823098905096e-49,1.69772395867328,0.939,0.365,6.54510424302541e-45,1.78823098905096e-49,2.20941944542545e-114
"MYOM2",2.41743335715302e-114,1.80773557510497,0.876,0.189,8.84804783051576e-110,1.84454585861191e-38,1.72054533003306,0.857,0.283,6.75122229710546e-34,1.84454585861191e-38,4.83486671430607e-114
"CMYA5",2.46216432996834e-114,1.99863568788444,0.91,0.224,9.01176766411711e-110,1.18260750892667e-42,1.44071482486032,0.98,0.339,4.32846174342251e-38,1.18260750892667e-42,4.92432865993662e-114
"CHRM2",4.47168537854575e-114,1.81731827519721,0.738,0.139,1.63668156540153e-109,1.04350147664891e-38,1.47120930404653,0.837,0.253,3.81931975468268e-34,1.04350147664891e-38,8.94337075709127e-114
"TENM2",5.53268833757392e-114,1.57131706555212,0.848,0.173,2.02501925843543e-109,3.2326716244274e-33,1.26736745939575,0.786,0.259,1.18319014125667e-28,3.2326716244274e-33,1.10653766751479e-113
"TMEM178B",6.59660580987135e-114,1.79808742695409,0.819,0.164,2.41442369247101e-109,1.17412890340872e-28,1.00793753732043,0.786,0.252,4.29742919936627e-24,1.17412890340872e-28,1.31932116197429e-113
"NEBL",2.24895442371488e-113,2.0956308765276,0.952,0.264,8.23139808623883e-109,6.68067928772418e-37,1.44214716549408,0.959,0.339,2.44519542609993e-32,6.68067928772418e-37,4.49790884742975e-113
"LRRC2",1.09391329755701e-112,1.30779760100454,0.762,0.145,4.0038320603884e-108,8.07390326254719e-31,0.998853638341847,0.724,0.234,2.9551293331249e-26,8.07390326254719e-31,2.18782659511407e-112
"NRAP",5.08985831513954e-112,1.39622475995719,0.795,0.154,1.86293904192422e-107,2.93865922242236e-43,1.40913004670231,0.857,0.252,1.07557866199881e-38,2.93865922242236e-43,1.01797166302788e-111
"HSPB3",7.20743974541498e-112,1.18340546149403,0.733,0.144,2.63799502121934e-107,2.77710981615801e-30,0.798606962722339,0.653,0.203,1.01644996381199e-25,2.77710981615801e-30,1.44148794908301e-111
"MYOM1",7.57083312267325e-112,2.05077468850038,0.89,0.221,2.77100063122964e-107,3.03810963947358e-38,1.4151236146554,0.918,0.315,1.11197850914372e-33,3.03810963947358e-38,1.51416662453467e-111
"PKP2",3.9595316654773e-110,1.66771074330008,0.867,0.206,1.44922818488135e-105,4.04272087774603e-39,1.35843644835623,0.878,0.282,1.47967626846383e-34,4.04272087774603e-39,7.91906333095467e-110
"OBSCN",8.73551414786015e-110,1.54653374287798,0.795,0.167,3.19728553325829e-105,5.43563350964721e-32,1.17373263890968,0.816,0.275,1.98949622086598e-27,5.43563350964721e-32,1.74710282957202e-109
"ACTC1",1.64815501259492e-109,1.39134750279638,0.981,0.397,6.03241216159868e-105,1.69368719289755e-44,1.84064003784617,0.939,0.41,6.19906449472432e-40,1.69368719289755e-44,3.29631002518989e-109
"TNNT2",2.81467448010274e-109,1.78192312736339,0.962,0.349,1.03019900646241e-104,1.22157043907043e-57,2.00871007856716,0.99,0.4,4.47106996404167e-53,1.22157043907043e-57,5.62934896020553e-109
"EFNA5",4.97310836318541e-109,1.68979773908923,0.814,0.166,1.82020739200949e-104,6.33769545566803e-31,1.11496881747174,0.847,0.275,2.31965991372905e-26,6.33769545566803e-31,9.94621672637073e-109
"MYPN",6.86763210483149e-109,1.36347647820154,0.767,0.148,2.51362202668937e-104,9.82616870257507e-30,0.909244172012492,0.765,0.239,3.5964760068295e-25,9.82616870257507e-30,1.37352642096629e-108
"COX6A2",1.3363434141108e-108,1.515640259425,0.962,0.336,4.89115052998695e-104,3.52254796121397e-40,1.44555590921909,0.827,0.298,1.28928777928393e-35,3.52254796121397e-40,2.67268682822158e-108
"SGCD",1.66641920638918e-108,2.1082776219859,0.905,0.248,6.09926093730504e-104,6.3760036606285e-33,1.61885894596869,0.908,0.341,2.33368109982664e-28,6.3760036606285e-33,3.3328384127784e-108
"PDZRN3",2.07201658527274e-108,1.91973910672789,0.871,0.212,7.58378790375676e-104,2.08335375995252e-33,1.42063283819564,0.857,0.308,7.62528309680223e-29,2.08335375995252e-33,4.1440331705455e-108
"MB",3.44858540852118e-108,1.533193345614,0.986,0.453,1.26221674537284e-103,2.36296272301903e-54,2.07530560290956,0.99,0.492,8.64867986252194e-50,2.36296272301903e-54,6.8971708170423e-108
"PACRG",1.30197337974232e-107,1.55821972027215,0.8,0.166,4.76535276719487e-103,2.90052306059823e-37,1.37911157015073,0.857,0.265,1.06162044540956e-32,2.90052306059823e-37,2.60394675948464e-107
