"","Normal_p_val","Normal_avg_log2FC","Normal_pct.1","Normal_pct.2","Normal_p_val_adj","Chemo_p_val","Chemo_avg_log2FC","Chemo_pct.1","Chemo_pct.2","Chemo_p_val_adj","max_pval","minimump_p_val"
"TECRL",1.23296906788207e-53,2.30303160750657,0.816,0.219,4.51279008535516e-49,4.41124654507664e-196,1.7971643456996,0.847,0.265,1.6145603479635e-191,1.23296906788207e-53,8.82249309015335e-196
"MLIP",5.27296950075687e-38,1.81170685465548,0.712,0.206,1.92995956697202e-33,3.51369651257145e-189,1.73687449649213,0.849,0.267,1.28604806056628e-184,5.27296950075687e-38,7.02739302514311e-189
"MYBPC3",8.46668415842111e-37,1.51714263842798,0.752,0.247,3.09889106882371e-32,1.55687277083178e-188,1.68049106309197,0.849,0.278,5.69831002852141e-184,8.46668415842111e-37,3.11374554166356e-188
"TRDN-AS1",4.55938598286482e-31,1.55689637633867,0.648,0.203,1.66878086358835e-26,3.7875440691026e-176,1.64998027915265,0.814,0.257,1.38627900473224e-171,4.55938598286482e-31,7.57508813820504e-176
"MYOM2",2.72760618723164e-36,1.54835724861782,0.704,0.211,9.98331140588653e-32,3.3040151717565e-166,1.5583659504461,0.776,0.264,1.2093025930146e-161,2.72760618723164e-36,6.60803034351285e-166
"TTN",4.43713875681618e-42,1.84413095386031,0.968,0.509,1.62403715638229e-37,8.4130161370965e-164,1.64068760002037,0.972,0.507,3.07924803633869e-159,4.43713875681618e-42,1.68260322741932e-163
"TRDN",1.07016436518077e-34,1.71342467578574,0.704,0.224,3.91690859299813e-30,1.95262351895185e-158,1.50703762875699,0.8,0.269,7.14679734171565e-154,1.07016436518077e-34,3.90524703790372e-158
"LDB3",3.03017502161445e-31,1.56289871294269,0.768,0.29,1.10907435966111e-26,3.61547509919672e-158,1.45930753570871,0.823,0.286,1.32330004105699e-153,3.03017502161445e-31,7.23095019839325e-158
"AC092353.2",1.41304704925143e-19,1.63054383874717,0.488,0.17,5.17189350496517e-15,6.47101226238357e-156,1.49282334306769,0.781,0.248,2.36845519815501e-151,1.41304704925143e-19,1.29420245247672e-155
"RBM20",2.59608638523126e-26,1.6001264598927,0.672,0.249,9.50193577858494e-22,9.03378526339168e-154,1.53651016563866,0.798,0.271,3.30645574425399e-149,2.59608638523126e-26,1.80675705267838e-153
"FHOD3",9.94100444108792e-43,2.02563251173029,0.704,0.193,3.63850703548259e-38,2.35637476349561e-151,1.5618606272554,0.767,0.258,8.6245672718703e-147,9.94100444108792e-43,4.71274952699134e-151
"NEBL",3.16953061152969e-32,1.39466376391557,0.8,0.285,1.16007989912598e-27,1.69852462810958e-150,1.38870211423576,0.88,0.318,6.21676999134386e-146,3.16953061152969e-32,3.39704925621914e-150
"TNNT2",7.62632075460848e-29,1.19302384085802,0.816,0.368,2.79130965939425e-24,3.71466345008746e-150,1.34262110291215,0.878,0.382,1.35960396936651e-145,7.62632075460848e-29,7.42932690017475e-150
"CTNNA3",6.33490471282905e-28,1.41857119221409,0.712,0.261,2.31863847394256e-23,3.29861811111791e-148,1.50409965834147,0.837,0.298,1.20732721485027e-143,6.33490471282905e-28,6.59723622223577e-148
"LMO7",1.27653700798291e-25,1.46872239118672,0.624,0.245,4.67225310291826e-21,1.00882571797054e-147,1.4320440616861,0.802,0.307,3.69240301034397e-143,1.27653700798291e-25,2.0176514359411e-147
"RYR2",3.15283640650395e-31,1.18583888216046,0.8,0.295,1.15396965314451e-26,3.53584333642232e-147,1.14671150627101,0.92,0.312,1.29415401956393e-142,3.15283640650395e-31,7.07168667284485e-147
"LINC02208",4.50303539459577e-05,0.479802800246588,0.384,0.217,1,1.34168403730888e-145,1.54756598451143,0.762,0.261,4.91069774495422e-141,4.50303539459577e-05,2.68336807461779e-145
"SORBS2",3.26771242123451e-25,1.88931807423436,0.8,0.432,1.19601542329604e-20,4.94306033744623e-143,1.49366656595024,0.871,0.357,1.8092095141087e-138,3.26771242123451e-25,9.88612067489262e-143
"NEXN",3.0506918317776e-28,1.68633442298351,0.712,0.308,1.11658371734892e-23,1.23206994134656e-142,1.49410253612889,0.819,0.325,4.50949919232256e-138,3.0506918317776e-28,2.46413988269318e-142
"TNNI3K",1.02910588354306e-30,1.72334423788592,0.664,0.23,3.76663044435596e-26,1.6922713147793e-141,1.57192610910567,0.776,0.276,6.19388223922372e-137,1.02910588354306e-30,3.38454262955864e-141
"MYOZ2",6.84469586026428e-35,1.84267633243431,0.76,0.293,2.50522713181533e-30,2.54501349554468e-140,1.46634013784659,0.776,0.288,9.31500389504308e-136,6.84469586026428e-35,5.09002699108933e-140
"CDH2",2.55011054435327e-27,1.63840297840003,0.648,0.229,9.33365960338742e-23,3.19354006224897e-140,1.47285692861238,0.774,0.272,1.16886759818375e-135,2.55011054435327e-27,6.38708012449809e-140
"DPY19L2",2.38099766723499e-48,1.75143971074045,0.728,0.194,8.7146895618468e-44,5.18355496578401e-140,1.34073624474563,0.744,0.261,1.8972329530266e-135,2.38099766723499e-48,1.03671099315682e-139
"AKAP6",6.63176959211847e-24,1.64641853396509,0.592,0.217,2.42729398841128e-19,1.34082445284722e-139,1.49216139258273,0.781,0.28,4.9075515798661e-135,6.63176959211847e-24,2.68164890569439e-139
"MALAT1",9.60378221775415e-19,0.759147626480981,0.952,0.974,3.5150803295202e-14,9.54720697934818e-139,0.871943374730948,0.988,0.993,3.49437322651123e-134,9.60378221775415e-19,1.90944139586969e-138
"MYOM1",3.15272969275147e-21,1.48189836614019,0.616,0.245,1.15393059484397e-16,1.85931019033184e-138,1.3568284042193,0.781,0.298,6.80526122763356e-134,3.15272969275147e-21,3.71862038066359e-138
"PLCXD3",9.9290021185129e-33,2.03272558022782,0.632,0.201,3.63411406539691e-28,2.50933812796034e-136,1.64766126547691,0.729,0.26,9.18442848214765e-132,9.9290021185129e-33,5.01867625592064e-136
"CMYA5",3.41530119478078e-47,1.84121998524467,0.8,0.244,1.25003439030171e-42,1.43480687863135e-135,1.32401466613754,0.826,0.321,5.25153665647862e-131,3.41530119478078e-47,2.86961375726267e-135
"MYH7",1.02936896270658e-22,1.25811166058215,0.8,0.409,3.76759334040235e-18,2.13110445794748e-134,1.2577362686766,0.877,0.402,7.80005542653359e-130,1.02936896270658e-22,4.26220891589486e-134
"CHRM2",3.13335652679727e-32,1.95569469533365,0.56,0.159,1.14683982237307e-27,4.12699963597497e-134,1.52086780815972,0.69,0.237,1.5105231367632e-129,3.13335652679727e-32,8.2539992719499e-134
"EFNA5",2.67538480625715e-29,1.8510473400217,0.584,0.189,9.7921759293818e-25,8.49967572144061e-133,1.34732613964962,0.727,0.258,3.11096631080448e-128,2.67538480625715e-29,1.69993514428816e-132
"ERBB4",2.12142652903449e-37,1.77311661050081,0.688,0.197,7.76463323891914e-33,5.41076897392633e-129,1.44248922097264,0.746,0.258,1.98039555214677e-124,2.12142652903449e-37,1.08215379478524e-128
"ESRRG",1.54544386253165e-34,1.54004657602163,0.648,0.188,5.65647908125209e-30,2.36892335837714e-128,1.40565122990489,0.723,0.252,8.67049638399618e-124,1.54544386253165e-34,4.73784671675429e-128
"SGCG",7.73690021979702e-29,1.22739795562029,0.6,0.183,2.83178284944791e-24,2.8034125764824e-128,1.30865121843498,0.694,0.241,1.02607703711832e-123,7.73690021979702e-29,5.60682515296491e-128
"PKP2",1.45081988271735e-32,1.71026819018667,0.68,0.227,5.31014585273376e-28,1.10415786042101e-126,1.32649784061705,0.722,0.265,4.04132818492693e-122,1.45081988271735e-32,2.20831572084202e-126
"AC090348.1",1.99892764390832e-17,1.06758527816327,0.48,0.169,7.31627506946883e-13,2.67387910709201e-125,1.36917021182433,0.671,0.232,9.78666491986747e-121,1.99892764390832e-17,5.34775821418403e-125
"PDE4DIP",4.33106350659398e-23,1.49289774640291,0.688,0.326,1.58521255404846e-18,6.60478148630619e-125,1.24491619146704,0.779,0.311,2.41741607180293e-120,4.33106350659398e-23,1.32095629726122e-124
"AC004879.1",4.65635358687655e-27,1.40670594874388,0.552,0.176,1.70427197633269e-22,1.67509180583396e-124,1.50120283225868,0.619,0.211,6.13100351853286e-120,4.65635358687655e-27,3.35018361166798e-124
"AC097522.2",1.81617958940998e-23,2.30379281475462,0.48,0.159,6.64739891519946e-19,2.8164560717019e-123,1.40484429712705,0.673,0.233,1.03085108680361e-118,1.81617958940998e-23,5.63291214340381e-123
"PALLD",3.78736253791333e-28,1.90101550331194,0.744,0.348,1.38621256250166e-23,3.17693652123606e-123,1.29825469570956,0.831,0.401,1.16279053613761e-118,3.78736253791333e-28,6.35387304247196e-123
"SGCD",1.64516064321892e-31,2.12268652486765,0.696,0.27,6.02145247024556e-27,4.103907026216e-123,1.37140078805128,0.805,0.323,1.50207101066532e-118,1.64516064321892e-31,8.20781405243182e-123
"AC138305.1",4.16965796070059e-23,2.1093923004214,0.52,0.173,1.52613651019602e-18,1.58185173446447e-120,1.49470413781947,0.659,0.232,5.7897355333134e-116,4.16965796070059e-23,3.16370346892889e-120
"ANKRD1",1.78026698218703e-10,0.816936773907734,0.488,0.243,6.51595518150275e-06,1.46282643671462e-119,1.26020944463187,0.75,0.31,5.35409104101919e-115,1.78026698218703e-10,2.92565287342922e-119
"FGF12",1.20353031240228e-19,1.14890624751792,0.68,0.296,4.40504129642357e-15,4.98516186782589e-119,1.05250305776287,0.826,0.316,1.82461909524295e-114,1.20353031240228e-19,9.97032373565186e-119
"MB",6.80170189603317e-19,0.568057049641097,0.792,0.472,2.4894909109671e-14,8.95069031335351e-118,1.28988243398028,0.897,0.477,3.27604216159052e-113,6.80170189603317e-19,1.79013806267076e-117
"MTUS2",2.59097851026195e-22,1.32693334188826,0.528,0.18,9.48324044540976e-18,7.58700906078311e-117,1.26331208122462,0.668,0.238,2.77692118633722e-112,2.59097851026195e-22,1.51740181215663e-116
