"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINC02269",9.19577753154429e-268,1.59995619735863,0.883,0.375,2.68847751912229e-263
"AC004879.1",7.21357542536878e-175,0.96954931647734,0.928,0.607,2.10896091136082e-170
"PDK4",7.26241878039929e-126,0.825581135158877,0.936,0.737,2.12324075463754e-121
"AC093912.1",1.04353768663425e-125,1.02321868382719,0.831,0.5,3.05088678064389e-121
"AC117464.1",1.15161314921037e-113,0.679190865880179,0.817,0.475,3.36685620303145e-109
"MLIP",1.50017199371199e-110,0.522277229025496,0.991,0.952,4.38590284081636e-106
"KLRD1",1.60691584474854e-102,0.6816616408079,0.615,0.264,4.69797916370685e-98
"TECRL",7.38793818894362e-96,0.53009911094531,0.994,0.941,2.15993760891956e-91
"EDIL3",2.41368770673812e-93,0.52198055418214,0.688,0.329,7.05665737941957e-89
"GRIK2",7.33984269371647e-93,0.726731072345356,0.556,0.224,2.14587640993495e-88
"FILIP1L",8.3658735794273e-91,0.63879347984146,0.885,0.608,2.44584679968137e-86
"C15orf41",5.51290770186229e-90,0.539653059860668,0.974,0.874,1.61175369571646e-85
"TXNIP",4.12287747841074e-89,0.454561425634345,0.964,0.81,1.20536445958816e-84
"MYOM2",4.35923608054458e-87,0.517006429782505,0.974,0.881,1.27446626050801e-82
"COL21A1",2.40390300313932e-85,0.506625278014167,0.769,0.444,7.02805081997811e-81
"KLHL24",1.59220707800457e-84,0.476326907924535,0.925,0.762,4.65497661325416e-80
"INPP4B",2.34670048023152e-84,0.507192697242919,0.975,0.796,6.86081352400488e-80
"FYB2",7.25227528660061e-83,0.560932650366533,0.903,0.645,2.12027520279056e-78
"PPM1K",8.17856543707371e-82,0.49241423173999,0.963,0.779,2.39108539118287e-77
"PALMD",2.21093382296991e-80,0.506818360112829,0.932,0.74,6.46388612483484e-76
"FRY",7.82253810840088e-80,0.453583254826817,0.97,0.913,2.28699724137208e-75
"TXLNB",6.07448059234423e-79,0.472240581254815,0.8,0.528,1.77593514597776e-74
"CD36",9.86186864206587e-76,0.426272277068993,0.988,0.966,2.88321591619438e-71
"DPY19L2",1.76698707832316e-72,0.412796103365662,0.973,0.886,5.16596342218558e-68
"PRR16",8.48762600867725e-72,0.676060914168596,0.73,0.466,2.48144233989688e-67
"AC097522.2",4.77254593517107e-71,0.611477628885483,0.917,0.764,1.39530152960662e-66
"SLCO5A1",7.41672640228746e-71,0.560467492526777,0.714,0.43,2.16835413097276e-66
"MGAT4C",8.37156617044111e-71,0.526676837061367,0.608,0.308,2.44751108559016e-66
"TTN",7.08838520738143e-68,0.289305053822893,1,0.996,2.07236029923003e-63
"AC092353.2",2.21510340571926e-65,0.486841339581424,0.981,0.849,6.47607631696083e-61
"MYL3",9.11333237402074e-64,-0.468031935548707,0.858,0.912,2.6643738528687e-59
"ANK3",1.96578999186318e-62,0.389700745538513,0.964,0.869,5.7471836202112e-58
"ANTXR2",2.57993035708728e-62,0.435962308402735,0.621,0.339,7.54268439198036e-58
"CRIM1",1.04893291232877e-61,0.483691889984277,0.61,0.353,3.06666026248441e-57
"MPP3",4.81760538113263e-61,-0.513361289811231,0.341,0.613,1.40847510922793e-56
"ABHD18",1.5334132885281e-59,0.44829434710813,0.668,0.401,4.48308709034075e-55
"TRAK2",1.40992583518301e-58,0.410323078702683,0.851,0.642,4.12205917174104e-54
"ARHGAP24",1.56928159068117e-58,0.487759683450822,0.906,0.691,4.58795165851548e-54
"ART3",2.63652170947924e-58,0.397289197155363,0.707,0.443,7.7081348698335e-54
