"","Chemo_p_val","Chemo_avg_log2FC","Chemo_pct.1","Chemo_pct.2","Chemo_p_val_adj"
"NPPB",0,3.33004038633551,0.675,0.027,0
"XIRP1",0,1.58659435704895,0.756,0.102,0
"AC078980.1",0,1.05126559785995,0.227,0.005,0
"C3orf52",0,0.817069539550269,0.526,0.041,0
"FLNC",0,2.0538445320374,0.842,0.128,0
"FLNC-AS1",0,1.26326927977678,0.592,0.019,0
"KCP",0,0.648347155854733,0.402,0.012,0
"ATP6V1FNB",0,1.23978577562031,0.454,0.003,0
"ABRA",0,0.873873233014318,0.575,0.042,0
"LINC00702",0,1.94294531506553,0.839,0.1,0
"OTUD1",0,1.3860353407581,0.655,0.073,0
"AL512603.2",0,2.34877910762495,0.77,0.057,0
"AL355490.2",0,0.369973343552552,0.374,0.016,0
"ATRNL1",0,1.21428095144206,0.626,0.064,0
"SPON1-AS1",0,0.659170639011224,0.425,0.021,0
"ARNTL2",0,0.87013399021049,0.491,0.027,0
"AC007686.4",0,0.366350541754307,0.316,0.014,0
"LINC01629",0,0.368896654675392,0.348,0.007,0
"HPR",0,1.13805097610134,0.707,0.06,0
"CNN1",0,1.37110656175307,0.69,0.016,0
"TNNT1",0,1.56870244290002,0.828,0.128,0
"SH3BGR",0,2.39380034701116,0.782,0.087,0
"B3GALT5",0,0.767969834383438,0.382,0.02,0
"Z98949.1",0,1.26088456476461,0.698,0.046,0
"FO393418.1",0,0.430821569700944,0.411,0.019,0
"MYPN",2.12454052410463e-299,3.30314967134575,0.917,0.224,7.77603077227534e-295
"ASB2",8.25466072578236e-296,1.16150079538986,0.761,0.117,3.0212883722436e-291
"DUSP27",2.43644805054652e-293,2.31952094167617,0.842,0.167,8.9176435098053e-289
"GPA33",1.9868890016894e-292,0.811345745399702,0.612,0.071,7.27221243508338e-288
"ANKRD1",3.0022820732896e-287,3.67073812587397,0.994,0.311,1.09886526164473e-282
"XIRP2",1.45963070697824e-282,3.74822629612675,0.897,0.2,5.34239435061105e-278
"AC005355.1",3.28023302391118e-281,0.555370598275978,0.411,0.03,1.20059808908173e-276
"NRAP",8.93899895239387e-280,2.88457271868553,0.928,0.238,3.27176300656568e-275
"BDNF",1.10668074330593e-279,1.53153700351898,0.701,0.1,4.05056218857405e-275
"TNFRSF12A",2.1425259790884e-278,0.692338856517668,0.664,0.079,7.84185933606146e-274
"AC018464.1",1.64871177932138e-275,2.57219388207221,0.931,0.235,6.03444998349419e-271
"MYO18B",7.50249392003518e-275,3.83161093707558,0.897,0.235,2.74598779967208e-270
"ABCG2",2.79405352309449e-266,0.577224825194071,0.454,0.039,1.02265152998781e-261
