"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SGIP1",2.61568539425801e-277,1.13201214014416,0.527,0.055,7.64721781865273e-273
"XIST",4.17314564282433e-198,-1.56262480375781,0,0.601,1.22006086013612e-193
"MALAT1",6.43087258789992e-180,-0.746351472703993,0.988,0.998,1.88012990979842e-175
"ACTA1",2.7024322771482e-179,1.60430630110992,0.905,0.503,7.90083100547047e-175
"COX6A2",9.01714584610369e-161,1.2149379445835,0.85,0.543,2.63625275956687e-156
"LINC02208",2.89860202098651e-156,-1.52638694572655,0.478,0.83,8.47435286855615e-152
"MT-ND3",7.26568629050762e-150,1.41880261282147,0.816,0.47,2.12419604389281e-145
"ENOX1",1.20298544308286e-149,-0.89559298771486,0.161,0.665,3.51704824139705e-145
"MT1X",9.25459694905528e-144,0.575180614713103,0.408,0.078,2.7056739640258e-139
"TTTY14",1.92118838573368e-142,0.971942202217946,0.691,0.237,5.61678636453099e-138
"LRRC1",1.97588339428568e-133,0.757775489357263,0.556,0.191,5.77669269153363e-129
"CHRM2",2.88892407565544e-124,-0.949588289559329,0.576,0.835,8.44605842758625e-120
"MT-CO2",4.84279172311495e-124,1.20135158512483,0.858,0.57,1.41583858816989e-119
"UTY",9.75208984982503e-123,0.743309332853241,0.613,0.219,2.85112098849485e-118
"TNNC1",2.12261165157835e-115,1.25592005487998,0.915,0.711,6.20566742455445e-111
"EIF1AY",3.68216034463083e-114,0.430347712061903,0.358,0.074,1.07651639835627e-109
"MT-CYB",1.00007989424185e-113,1.05774399229682,0.763,0.433,2.92383357880548e-109
"ABCA1",3.35539180555823e-112,0.523837017910385,0.485,0.149,9.80982348273005e-108
"CRYAB",2.37215707642638e-111,1.37708312952515,0.959,0.873,6.93523842864016e-107
"CST3",1.18892305155794e-110,0.799961051085993,0.408,0.103,3.47593543353478e-106
"MT-ND2",3.48331277437317e-109,0.983623071612232,0.68,0.34,1.01838132271574e-104
"TTTY10",5.02534976140302e-108,0.74536613945963,0.647,0.243,1.46921125624379e-103
"PLCG2",7.16833751470682e-108,0.866193592347968,0.988,0.99,2.09573515579969e-103
"ATP5F1E",2.78379046412664e-107,0.761481221895813,0.541,0.203,8.13868980092063e-103
"SCN5A",4.13012178258101e-105,-0.67253285726511,0.295,0.694,1.20748240435538e-100
"SLC27A6",9.75958180527311e-105,-0.742250796953832,0.135,0.534,2.85331133658965e-100
"CCDC93",1.26675423788687e-104,-0.652667167507885,0.187,0.591,3.70348268988605e-100
"COX7A1",2.96407518280296e-104,0.905175220766779,0.753,0.438,8.66577020444274e-100
"RPL41",4.85344668230048e-104,0.896509112766174,0.568,0.229,1.41895367203737e-99
"DLG2",1.95511190539458e-102,-0.673605464099277,0.82,0.938,5.71596516661161e-98
"ANKRD1",6.66014767725176e-102,-1.22427425322837,0.593,0.849,1.94716077492133e-97
"USP9Y",8.14723781010097e-102,0.603154417460928,0.552,0.198,2.38192644616112e-97
"TSIX",4.84529005131289e-100,-0.585443820496837,0.001,0.369,1.41656899940184e-95
"MYBPC3",5.46165363387829e-99,-0.554502260213388,0.914,0.967,1.59676905640066e-94
"NDUFA4",4.42994233679323e-98,0.999565640521568,0.84,0.606,1.29513794158487e-93
"LMO7",2.13172054426764e-96,-0.547317399963156,0.77,0.927,6.23229818322088e-92
"MT-ATP6",7.62137111168406e-96,1.11191087398065,0.864,0.637,2.22818405821195e-91
"GPNMB",8.7240783517042e-96,0.649743711046115,0.517,0.194,2.55057154690424e-91
"PALLD",1.56756225633031e-95,-0.90227882654656,0.862,0.957,4.5829250126073e-91
"RPS27",3.02322175859265e-94,0.656462515829982,0.404,0.12,8.83869113342148e-90
"LDLRAD4",2.97247487903889e-93,-0.665647293857268,0.573,0.833,8.6903275563581e-89
"RPS16",7.71424538748879e-93,0.722121052921857,0.503,0.191,2.25533678148622e-88
"MT-ND4",2.80076677566192e-92,0.902535202424616,0.751,0.459,8.18832174532518e-88
"COX7B",5.30715139579997e-91,0.751295321815883,0.685,0.386,1.55159878207608e-86
"RPL37A",2.88089782579228e-89,0.842644149367946,0.565,0.253,8.42259288348632e-85
"COX7C",1.73860896003125e-86,0.837428336086561,0.717,0.431,5.08299715554737e-82
"MYOM3",1.23447225410253e-85,-0.593989975677181,0.467,0.77,3.60910308209415e-81
"JPH2",2.55993272806396e-85,-0.598024562559719,0.299,0.65,7.48421932376779e-81
"MT-ATP8",7.35711691912717e-85,0.416733038133464,0.291,0.066,2.15092670247602e-80
"ENO3",7.49018591594998e-85,0.545473603790151,0.422,0.141,2.18983075438714e-80
"NEXN",2.59932148678563e-84,-0.539165990710603,0.844,0.952,7.59937629876647e-80
"MT-CO3",6.93356273749957e-84,1.02731773927625,0.852,0.659,2.02709640193537e-79
"MT-ND1",1.02351487189903e-83,0.860784217589957,0.698,0.421,2.99234807948401e-79
"KCNMB2",1.60868368869337e-82,-0.93716430605852,0.348,0.664,4.70314763226395e-78
"HSPB6",2.09732045716815e-82,0.497153726650718,0.387,0.122,6.13172608857681e-78
"PPP2R3A",3.89177331259115e-82,-0.573886248772776,0.541,0.815,1.13779884566915e-77
"RPL38",5.0651095563081e-82,0.550461202700109,0.383,0.12,1.48083542988224e-77
"PLN",6.39121413272945e-82,0.585132756043471,0.913,0.861,1.86853536384478e-77
"FRMD5",1.79339558801009e-81,0.681044920184875,0.496,0.206,5.2431713411063e-77
"MYL12A",1.16771380729117e-80,0.863600257725668,0.826,0.564,3.41392808699645e-76
"UQCR10",6.59630543291682e-80,0.623710423542376,0.537,0.242,1.92849585636756e-75
"LAPTM4A",1.19767444133813e-79,0.51361119125255,0.427,0.151,3.50152099669617e-75
"RPS17",9.38115433482668e-78,0.520682750314436,0.341,0.1,2.74267428132993e-73
"NDUFA1",1.01284765494835e-77,0.726797813795195,0.589,0.296,2.961161404007e-73
"RPS10",4.73696218949737e-77,0.327868342552526,0.223,0.039,1.38489826572145e-72
"S100A1",2.01886833070207e-76,0.744050249087281,0.586,0.301,5.90236345164058e-72
"ATP5MD",9.66960917856112e-76,0.576564206597991,0.563,0.281,2.82700693944413e-71
"RASAL2",2.09028581939196e-74,-0.504499108297878,0.721,0.888,6.11115962157434e-70
"NEK7",3.90139813707483e-74,0.646357295428648,0.797,0.729,1.1406127593552e-69
"PTPRM",1.01862760572221e-72,-0.439999335464335,0.886,0.949,2.97805966808946e-68
"ITM2B",3.94717468237247e-72,0.756175173094079,0.531,0.248,1.15399599013842e-67
"RPL37",1.12184454484814e-70,0.536391620198454,0.344,0.11,3.27982471131803e-66
"AC002460.2",5.09405610999882e-70,-0.594950106033413,0.228,0.564,1.48929824431925e-65
"PPM1K",1.79286301142632e-69,0.749788466925957,0.802,0.8,5.24161430020599e-65
"COX8A",2.86584385324135e-69,0.594371881322302,0.512,0.242,8.3785810893364e-65
"MYL2",5.04513595012252e-69,1.25285308648308,0.994,0.977,1.47499594637782e-64
"FNDC3B",1.24322277893738e-68,-0.484281847180122,0.707,0.874,3.63468611650131e-64
"RPLP1",4.28752398991357e-68,0.979546794580448,0.629,0.365,1.25350051369113e-63
"SNHG14",9.99984807440283e-68,-0.476736635611411,0.844,0.932,2.92355558303241e-63
"LDB3",1.61364535998831e-67,-0.445560582969228,0.93,0.96,4.71765357446182e-63
"NAV2",2.47845628578518e-67,-0.497411531818189,0.306,0.632,7.24601479712157e-63
"AC097522.2",3.42420009117052e-67,-0.536731584317845,0.576,0.827,1.00109913865461e-62
"POLR2J3",4.71584945472786e-67,-0.401941369315611,0.093,0.406,1.37872574658424e-62
"NDUFB4",2.34219408590401e-66,0.535131497463618,0.511,0.247,6.84763862954896e-62
"ACTC1",3.64280943029609e-66,1.11260697165602,0.945,0.872,1.06501176504137e-61
"FTH1",3.82925780523008e-66,0.818764771895302,0.641,0.379,1.11952181193707e-61
"AC092353.2",6.88411032161906e-66,-0.660600157636527,0.706,0.894,2.01263849362855e-61
"MT1E",8.08256021315908e-66,0.388098210054506,0.317,0.097,2.36301730391919e-61
