"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PLCG2",7.75330726324231e-270,1.341618753273,0.998,0.99,2.26675691148152e-265
"CYP4B1",2.35261878185058e-225,0.754522858561156,0.502,0.076,6.87811627061834e-221
"TXNIP",5.573581826975e-216,1.12180219185241,0.936,0.553,1.62949238293441e-211
"CALCRL",2.39300107206543e-194,1.16254329079667,0.751,0.277,6.99617793429048e-190
"GALNT15",2.6388113115142e-187,0.769472750102843,0.432,0.066,7.71482875034292e-183
"ADIRF",3.76132857149697e-173,0.945240059324221,0.438,0.08,1.09966202116285e-168
"ABCB1",6.38295421711759e-156,1.38700536482921,0.566,0.177,1.8661204949165e-151
"RUNDC3B",1.61281961093577e-154,0.774959912552858,0.429,0.087,4.71523941453183e-150
"SYNE1",3.21311285481602e-154,1.19783679423832,0.938,0.819,9.39385674234013e-150
"GNG11",1.20168744484029e-151,0.856484195233589,0.756,0.355,3.51325341373506e-147
"XIST",8.10704919209392e-149,-1.24002256645966,0,0.438,2.37017690180058e-144
"CLDN5",5.44927586121806e-148,-1.21856213656835,0.176,0.602,1.59315029078571e-143
"ADAMTS9",4.12693483427234e-141,-2.04691110671478,0.3,0.666,1.20655066814786e-136
"SPARCL1",5.32186801759451e-140,0.957766576675207,0.947,0.775,1.55590133362393e-135
"UTY",2.26078999856118e-136,0.542290822883065,0.38,0.069,6.60964563979348e-132
"RUNX1T1",6.27303493682656e-136,1.0345855580441,0.622,0.239,1.83398449413061e-131
"MT-ND3",3.27246550900292e-132,0.935168457048903,0.923,0.654,9.56738016212093e-128
"S100A10",5.53154130501063e-128,0.821054727916051,0.671,0.299,1.61720141593291e-123
"PLEKHG1",7.39847810765749e-123,-1.14568448119584,0.579,0.807,2.16301905955474e-118
"EPHA4",7.17731401873639e-120,0.92250684979552,0.611,0.257,2.09835952651777e-115
"ABLIM3",2.16019677100706e-119,-1.13040305294759,0.477,0.769,6.31555127971623e-115
"MAST4",5.78991031896198e-118,-1.42775314493177,0.48,0.769,1.69273818085172e-113
"TMSB10",1.74095033546679e-112,0.829278070818092,0.923,0.742,5.08984240077072e-108
"MTSS1",3.17554356434429e-111,0.713942651046674,0.566,0.212,9.28401916471697e-107
"LCN6",1.07945994759131e-108,0.554720000868859,0.358,0.084,3.15590910277796e-104
"CAV1",1.79462982262857e-108,0.820221676094254,0.829,0.537,5.24677974943689e-104
"AC007319.1",3.48307980122637e-105,0.793011067662441,0.551,0.198,1.01831321068654e-100
"AC105450.1",3.24188307778093e-103,0.943894794274184,0.584,0.256,9.47796936620033e-99
"TINAGL1",6.51283804803468e-103,0.571608372487143,0.494,0.178,1.90409333172342e-98
"APOLD1",7.39307661463083e-103,-1.03002282797659,0.325,0.63,2.16143987905347e-98
"RPS28",1.53475505753708e-102,0.768458277170617,0.743,0.413,4.4870098862154e-98
"AC104211.2",7.68924077653824e-102,0.475475674823921,0.304,0.062,2.24802643342872e-97
"LINC01060",1.65801556869436e-100,0.428904671288235,0.136,0.001,4.84737431663483e-96
"PTGDR",2.49263078601747e-100,0.417866082274408,0.242,0.035,7.28745536600068e-96
"PITPNC1",1.89041410080558e-98,-1.05776288940677,0.741,0.853,5.52681466511519e-94
"TPO",3.87089761519562e-98,1.05251871592146,0.718,0.398,1.13169562677859e-93
"PRKD1",2.2196390965191e-97,1.03397311660394,0.565,0.257,6.48933686258324e-93
"HIF3A",4.02827658888123e-96,0.687046790081468,0.722,0.391,1.17770694352532e-91
"LINC00278",2.39010149579481e-94,0.470225338584103,0.234,0.034,6.98770073310571e-90
"PRKY",1.32764999369839e-93,0.419360081482041,0.279,0.055,3.88151752157662e-89
"ZFP36L1",1.31465721010813e-92,0.587148710971993,0.551,0.23,3.84353181947214e-88
"DAAM2",4.44563713844747e-92,0.367710176140639,0.179,0.016,1.2997264737965e-87
"RPS29",5.23613188659775e-92,0.595838400024457,0.575,0.252,1.53083551836572e-87
"RPS27",1.1267527793422e-91,0.70481115309009,0.634,0.313,3.29417442568485e-87
"CD34",1.48025563747472e-91,0.662833627628207,0.584,0.268,4.32767538172109e-87
"ELMO1",3.27009318502181e-88,0.825611002766457,0.878,0.729,9.56044443572976e-84
"FABP5",1.60070706489168e-86,1.09104746259845,0.835,0.632,4.67982717491731e-82
"SLC52A3",1.71051999011351e-86,0.321347010142644,0.235,0.04,5.00087624309587e-82
"STOX2",3.9026575323292e-86,0.832335243038449,0.615,0.306,1.14098095615176e-81
"LNX1",1.68539708478444e-85,0.83320015777814,0.674,0.384,4.9274269170758e-81
"CYYR1-AS1",2.17033236585566e-85,0.71169181617812,0.464,0.188,6.3451837048156e-81
"LGALS3",2.32697489308213e-85,0.639406696695177,0.679,0.37,6.8031437974149e-81
"MGP",1.4199328443753e-84,0.960535489688466,0.522,0.223,4.15131566381563e-80
"SYNE2",1.50608758026177e-84,0.78941076827716,0.847,0.648,4.40319764965331e-80
"AC087854.1",2.07988283221988e-84,0.466617317564514,0.347,0.099,6.08074544827804e-80
"FAM214A",4.74918585565954e-84,0.648183704903748,0.482,0.191,1.38847197676062e-79
"AC097459.1",2.79136512131996e-83,0.489266754807512,0.335,0.095,8.16083506869105e-79
"PIK3R3",4.55753390240351e-83,-1.19258024219257,0.641,0.8,1.33244061170669e-78
"SLC9A3R2",5.74996519619675e-83,0.659442511692569,0.702,0.407,1.68105982476008e-78
"DEPP1",5.81869045576875e-83,0.33040619863781,0.204,0.029,1.70115234164855e-78
"MALAT1",1.18147921455591e-82,-0.366625969763722,1,1,3.45417263167566e-78
"CLEC3B",1.22587497428415e-82,0.308356216810034,0.215,0.034,3.58396807481713e-78
"RPS10",3.25716939175983e-81,0.397796432022538,0.325,0.089,9.52266043374905e-77
"RBMS3-AS2",3.63901632419453e-81,0.478683108555766,0.323,0.091,1.06390281254151e-76
"LPAR6",6.48182682474212e-80,0.598303589530994,0.56,0.27,1.89502689048161e-75
"EML1",1.38305443162059e-78,0.740473549578943,0.564,0.286,4.04349793628596e-74
"C19orf33",2.46747629274932e-78,0.317251936217371,0.191,0.027,7.2139136894819e-74
"LIFR",2.57840428523899e-77,0.922687652316006,0.597,0.317,7.53822276832472e-73
"IFITM2",2.94400303222884e-77,0.631160798397859,0.722,0.429,8.60708726502424e-73
"DUSP1",6.12472495733488e-77,-0.748676363069274,0.124,0.419,1.79062458852643e-72
"PTPRG",3.69569931125533e-76,0.853066063492711,0.941,0.903,1.08047465063861e-71
"TBCD",8.06044481685395e-76,-1.01004424029992,0.401,0.625,2.35655164665542e-71
"TTTY14",5.37544243606596e-75,0.444117808304756,0.226,0.044,1.57156435060824e-70
"MT-ATP8",6.51483790870842e-75,0.37579368610463,0.31,0.087,1.90467801098999e-70
"AL133268.4",7.98014494738705e-75,0.450930398024085,0.317,0.094,2.33307517681808e-70
"ATP5F1E",9.92990088902083e-75,0.477379342047772,0.46,0.184,2.90310582391413e-70
"XAF1",5.1309674555881e-74,-0.760626981417298,0.447,0.681,1.50008964531574e-69
"NCALD",1.30275612350085e-73,0.806760013789135,0.634,0.36,3.80873780266708e-69
"MYCT1",4.20673614366373e-73,0.522800726798208,0.469,0.203,1.22988137896153e-68
"CALCOCO2",5.7264585092112e-73,0.470414004631534,0.498,0.216,1.67418740975299e-68
"IFITM3",2.73685442213684e-72,0.638934631966417,0.895,0.717,8.00146758855927e-68
"EMCN",3.50278133562731e-72,0.715005173574448,0.805,0.575,1.024073151284e-67
"SORBS2",1.59203042435337e-71,0.805823718846835,0.62,0.364,4.6544601486395e-67
