"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","GeneName"
"GPX3",0,1.94158414281053,0.911,0.257,0,"GPX3"
"LINC01088",2.82329467636309e-293,2.45814034584089,0.868,0.23,8.25418431581513e-289,"LINC01088"
"CYP4B1",4.5489970923993e-284,1.23130075971936,0.689,0.069,1.32994478993386e-279,"CYP4B1"
"APOD",3.14160131166867e-254,2.48908889924457,0.987,0.804,9.18478559479452e-250,"APOD"
"MGST1",4.52758668553061e-235,1.5109790581884,0.871,0.319,1.32368524338173e-230,"MGST1"
"MAMDC2",1.43815185645145e-231,1.86329374593246,0.9,0.362,4.20458076752147e-227,"MAMDC2"
"NAA11",3.85387395107961e-219,0.898954679700738,0.506,0.031,1.12671858833763e-214,"NAA11"
"GALNT15",3.24506208094355e-209,1.12189565785791,0.598,0.079,9.48726349984655e-205,"GALNT15"
"NID1",3.0003099949898e-201,1.35047232089377,0.93,0.548,8.77170630135217e-197,"NID1"
"PID1",1.39143312634449e-190,1.71284483756872,0.939,0.604,4.06799388818074e-186,"PID1"
"APCDD1",1.03205308921345e-188,1.22168623626871,0.807,0.279,3.01731041162443e-184,"APCDD1"
"VIT",8.48055357752682e-187,1.2242571895317,0.856,0.358,2.47937464392574e-182,"VIT"
"GLUL",1.11183547234677e-178,1.07688891710787,0.761,0.232,3.25056218695301e-174,"GLUL"
"PRELP",3.47046264603871e-169,1.21899344880591,0.947,0.604,1.01462445919588e-164,"PRELP"
"MOB3B",1.71242651657431e-168,0.941204266237564,0.509,0.07,5.00645016385666e-164,"MOB3B"
"EDNRB",1.9349443566187e-165,0.958038719506482,0.658,0.157,5.65700332101043e-161,"EDNRB"
"SERPINA3",2.49142770084975e-165,0.878763347882629,0.561,0.1,7.28393802620433e-161,"SERPINA3"
"MAMDC2-AS1",1.43141790408029e-162,1.15090116538992,0.599,0.128,4.18489338436914e-158,"MAMDC2-AS1"
"MUSK",2.88703780524406e-156,1.2664552719989,0.728,0.247,8.44054372741155e-152,"MUSK"
"HIF3A",1.47556039968912e-155,0.739177647628684,0.501,0.075,4.3139483845311e-151,"HIF3A"
"UTY",1.84187604575134e-153,0.855601643246416,0.569,0.109,5.38490880735863e-149,"UTY"
"TSC22D3",7.47821756140357e-151,0.96099521246623,0.762,0.278,2.18633168625195e-146,"TSC22D3"
"ACSM1",1.14237513601479e-150,1.02868795772591,0.602,0.151,3.33984794765285e-146,"ACSM1"
"SHISA3",4.2089345445677e-149,0.689677191732669,0.49,0.075,1.23052410344981e-144,"SHISA3"
"DCN",3.42060359156104e-146,1.02862239346228,0.999,0.973,1.00004766602879e-141,"DCN"
"ACSM3",3.13734121449557e-145,1.58986677873033,0.892,0.503,9.17233077469926e-141,"ACSM3"
"ADH1B",7.65842916308458e-144,1.90613653936678,0.701,0.296,2.23901835011941e-139,"ADH1B"
"THUMPD1",3.45526047387148e-143,1.08749024312578,0.687,0.245,1.01017995214107e-138,"THUMPD1"
"PLCG2",7.02596282740089e-141,0.979015249125882,0.994,0.981,2.05411049221892e-136,"PLCG2"
"MALAT1",9.86724776157375e-140,-0.631101296019098,0.997,1,2.8847885555737e-135,"MALAT1"
"DOCK5",3.70224226709836e-139,1.04290416281077,0.717,0.253,1.08238754920888e-134,"DOCK5"
"RPS27",5.09355179937707e-139,1.11163118657948,0.843,0.467,1.48915080406588e-134,"RPS27"
"RPS10",8.40919378372701e-139,0.720648698743352,0.607,0.16,2.45851189461043e-134,"RPS10"
"LUM",2.45869310464095e-135,-1.55126840401528,0.568,0.845,7.18823516072828e-131,"LUM"
"XIST",7.1427627656887e-134,-1.33815795819918,0.001,0.513,2.08825812217675e-129,"XIST"
"VEGFD",2.29598413223152e-132,0.79637396363644,0.466,0.082,6.71253920899208e-128,"VEGFD"
"SLC66A1L",1.72284936277515e-129,0.745187078258194,0.47,0.086,5.03692239700944e-125,"SLC66A1L"
"CCDC80",4.13459176288874e-128,-1.48717802152244,0.45,0.818,1.20878924779815e-123,"CCDC80"
"RPL41",1.10964276291461e-124,1.01558735613035,0.937,0.677,3.24415158165716e-120,"RPL41"
"CFD",1.90596624192809e-121,1.08622390096948,0.967,0.72,5.57228290490098e-117,"CFD"
"RPS6KA2",8.03311690316066e-116,0.835721097650707,0.639,0.214,2.34856205780805e-111,"RPS6KA2"
"HTRA3",4.80495132075188e-114,0.740576618428192,0.694,0.259,1.40477556813502e-109,"HTRA3"
"RPS29",1.74109683563987e-111,0.783286267370192,0.788,0.377,5.09027070867674e-107,"RPS29"
"ZBTB16",2.59365339135967e-109,0.955425806033127,0.94,0.734,7.58280505497914e-105,"ZBTB16"
"NEGR1",1.27208515027477e-106,1.18790047718668,0.946,0.831,3.71906814534333e-102,"NEGR1"
"ZNF521",5.52833314314497e-106,1.0976696834922,0.687,0.311,1.61626347772986e-101,"ZNF521"
"PPM1L",3.18746599994014e-103,0.92065983151428,0.34,0.048,9.318875597425e-99,"PPM1L"
"FKBP5",8.76956313899972e-103,0.960185106199538,0.906,0.622,2.56386947931796e-98,"FKBP5"
"PLA2G5",2.5440801704883e-102,0.935118409732168,0.782,0.387,7.43787278643958e-98,"PLA2G5"
"PLD1",2.18784284490487e-100,0.996059264196305,0.677,0.294,6.39637734136387e-96,"PLD1"
"MFGE8",5.16997522088212e-100,0.706152184794884,0.807,0.411,1.5114939555771e-95,"MFGE8"
"RPS4Y1",1.07841397873435e-98,0.390133323029369,0.311,0.037,3.15285110822774e-94,"RPS4Y1"
"CALCRL",1.16921795237918e-96,0.940270459397378,0.584,0.213,3.41832560557576e-92,"CALCRL"
"HIST1H1C",1.5684801402258e-96,0.38943668523739,0.291,0.032,4.58560853796415e-92,"HIST1H1C"
"USP9Y",4.21597073796221e-96,0.553612474667899,0.445,0.101,1.23258120495063e-91,"USP9Y"
"ADH1C",9.97435031413559e-96,0.487246010783449,0.237,0.014,2.91610105784068e-91,"ADH1C"
"AC002546.1",2.35208400231869e-95,0.458855875364588,0.316,0.042,6.87655278917892e-91,"AC002546.1"
"TGFBR3",2.53169292660708e-95,0.988333518828638,0.786,0.431,7.40165744022845e-91,"TGFBR3"
"IL6R",1.40762464533139e-94,0.418868659095026,0.311,0.041,4.11533141309085e-90,"IL6R"
"AC104574.2",5.1473951797418e-94,0.7947976629088,0.331,0.052,1.50489245474931e-89,"AC104574.2"
"S100A13",2.87918797605685e-93,0.721944712780847,0.685,0.31,8.41759396679979e-89,"S100A13"
"SCARA5",3.16770305723098e-93,0.611865198311785,0.569,0.184,9.2610966581205e-89,"SCARA5"
"ABCA9-AS1",1.69119305206888e-92,0.87472897477891,0.684,0.307,4.94437200702859e-88,"ABCA9-AS1"
"JUP",2.55015990059551e-92,0.44283560309832,0.361,0.065,7.45564748538105e-88,"JUP"
"RPL37",1.58560519282255e-91,0.755438249691758,0.773,0.415,4.63567534173601e-87,"RPL37"
"TXNIP",1.85736363806397e-91,0.828990479774231,0.887,0.575,5.43018833224381e-87,"TXNIP"
"RPL37A",4.98035036549038e-91,0.769440257792153,0.823,0.492,1.45605523285477e-86,"RPL37A"
"MT-ATP8",5.6304167444649e-91,0.500585346715742,0.457,0.121,1.64610863941176e-86,"MT-ATP8"
"JADE1",3.00557242514094e-90,0.650261852244099,0.591,0.224,8.78709154214204e-86,"JADE1"
"ANGPTL1",1.27058330945027e-89,0.520223853832815,0.425,0.105,3.71467736350881e-85,"ANGPTL1"
"TPCN1",1.48648164416207e-89,0.655375668703785,0.608,0.237,4.34587773487224e-85,"TPCN1"
"MT-ND3",1.69634104854001e-89,0.797331770732503,0.949,0.77,4.95942268951157e-85,"MT-ND3"
"SH3D19",5.64163940194291e-89,0.913527897104588,0.815,0.479,1.64938969555203e-84,"SH3D19"
"RIPOR3",9.17587277708283e-89,0.548127640936978,0.37,0.075,2.68265816510794e-84,"RIPOR3"
"ECE1",1.99553900314352e-87,0.588839006203476,0.569,0.199,5.8341578295904e-83,"ECE1"
"TMSB4X",2.17576097634472e-87,0.786237579808611,0.877,0.586,6.36105479044142e-83,"TMSB4X"
"SESTD1",2.59075329134348e-87,0.94763818308076,0.726,0.399,7.5743263225718e-83,"SESTD1"
"TFPI",8.69784784366602e-87,0.805594855879642,0.91,0.666,2.5429027955742e-82,"TFPI"
"NGF",3.34976211071787e-86,0.751030026493955,0.43,0.115,9.79336450689477e-82,"NGF"
"COL1A2",1.51747219088035e-85,-1.15771723015251,0.591,0.819,4.4364816972578e-81,"COL1A2"
"TC2N",1.33121843474413e-84,0.773004202343312,0.586,0.23,3.89195021581794e-80,"TC2N"
"FOXP2",1.36433419581944e-83,1.04825759778403,0.822,0.565,3.9887674548977e-79,"FOXP2"
"EGR1",3.7622663434178e-83,-0.879449711030289,0.044,0.42,1.09993618816163e-78,"EGR1"
"RPS21",5.37380545597074e-83,0.625742626884003,0.629,0.268,1.57108576310761e-78,"RPS21"
"ACE2",6.97887531403408e-83,0.356816637770055,0.198,0.009,2.040343986811e-78,"ACE2"
"TMEM45A",1.1398868105451e-82,0.461587804639406,0.386,0.09,3.33257307930965e-78,"TMEM45A"
"ADAMTS5",3.14581168902985e-82,0.785674672612752,0.574,0.221,9.19709505404767e-78,"ADAMTS5"
"RPL39",1.220157929115e-81,0.659391326680433,0.679,0.32,3.56725372156062e-77,"RPL39"
"CATSPERB",1.48178506935257e-80,0.664217733653098,0.417,0.112,4.33214682875917e-76,"CATSPERB"
"ABHD15-AS1",2.30880496241972e-80,0.438414360812173,0.328,0.063,6.7500221881303e-76,"ABHD15-AS1"
"FOXO1",1.37840017668191e-79,0.886766773029896,0.828,0.517,4.02989075654723e-75,"FOXO1"
"RPL38",5.87372485578122e-79,0.646232000133953,0.664,0.311,1.7172421988362e-74,"RPL38"
"RNF144A",1.13314450624077e-78,0.70006131252829,0.573,0.229,3.31286127844553e-74,"RNF144A"
"EFHD1",1.27554759336105e-78,0.573225081941528,0.454,0.139,3.72919094395035e-74,"EFHD1"
"H1F0",1.6549790225039e-78,0.418744764119563,0.308,0.055,4.8384966701924e-74,"H1F0"
