"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GPX3",0,1.94749495798159,0.898,0.251,0
"LINC01088",1.03925074530172e-286,2.44354209382468,0.85,0.227,3.03835347896411e-282
"CYP4B1",4.92263032325633e-284,1.2383197447789,0.675,0.064,1.43918020130722e-279
"APOD",4.30569633699288e-258,2.50114278862061,0.988,0.801,1.25881338108324e-253
"MGST1",2.7819746957753e-231,1.50014205492034,0.855,0.316,8.13338122056867e-227
"MAMDC2",7.22238133348828e-224,1.84196566444227,0.882,0.359,2.11153540665863e-219
"GALNT15",6.85373984819318e-220,1.14570157738735,0.596,0.071,2.00375938201776e-215
"NAA11",1.47868444374647e-210,0.876685337116272,0.489,0.03,4.32308183973718e-206
"NID1",7.44710218184328e-194,1.32161002984238,0.916,0.547,2.1772347938837e-189
"APCDD1",2.2428478588122e-187,1.20992944175007,0.794,0.276,6.55719000002334e-183
"PID1",2.85802964096543e-181,1.68965535097716,0.922,0.605,8.35573545832655e-177
"VIT",2.72470790351867e-177,1.19371444265774,0.833,0.359,7.96595602672718e-173
"GLUL",5.62079538539817e-176,1.06050971610925,0.747,0.229,1.64329573887501e-171
"PRELP",1.96226436164325e-173,1.26607383502015,0.94,0.602,5.73687608770021e-169
"SERPINA3",4.11178019581505e-172,0.891433994882933,0.558,0.093,1.20212005804849e-167
"TSC22D3",3.17418244834791e-160,0.990457741595128,0.761,0.271,9.28003980598995e-156
"MOB3B",1.43665902660037e-159,0.918873414253281,0.49,0.07,4.20021633016884e-155
"MAMDC2-AS1",9.30724948775542e-159,1.13205871140373,0.585,0.126,2.72106746024017e-154
"HIF3A",4.57561322494723e-156,0.731212844372239,0.493,0.071,1.33772628244557e-151
"UTY",1.79393811592624e-155,0.853936980172629,0.561,0.105,5.24475747572196e-151
"EDNRB",3.07636360177093e-154,0.923239089177638,0.634,0.158,8.99405662613748e-150
"RPS27",4.75206018924233e-149,1.15078506210687,0.843,0.461,1.38931231692689e-144
"SHISA3",1.92576789571562e-148,0.69359895300205,0.48,0.072,5.63017501991419e-144
"MALAT1",7.23587914106372e-148,-0.639623361524079,0.998,1,2.11548162568139e-143
"DCN",1.10799046718071e-147,1.03247422113186,0.999,0.972,3.23932092984953e-143
"PLCG2",7.44218122499698e-146,0.993871146895536,0.994,0.98,2.17579610294012e-141
"MUSK",4.14104433243731e-145,1.22323748796736,0.705,0.248,1.21067572103137e-140
"RPS10",4.05004363910185e-144,0.737877149316646,0.602,0.155,1.18407075832782e-139
"XIST",2.52087846422684e-143,-1.36305439901976,0,0.522,7.37004027801359e-139
"ADH1B",4.13225446358633e-143,1.90758717679684,0.692,0.292,1.2081059149741e-138
"LUM",4.60756750121195e-140,-1.54327810120586,0.566,0.851,1.34706843465433e-135
"ACSM1",6.027482404947e-138,0.989538269805458,0.577,0.153,1.76219475591031e-133
"RPL41",9.25359505644078e-137,1.06107980645431,0.938,0.673,2.70538105070103e-132
"THUMPD1",2.97834249311368e-135,1.05604778762033,0.668,0.245,8.70748211286716e-131
"DOCK5",1.26919346640896e-134,1.02643410750326,0.701,0.252,3.71061401839324e-130
"ACSM3",7.42586828872151e-132,1.52874528866098,0.868,0.506,2.17102685289062e-127
"CCDC80",1.67135881219292e-130,-1.46295891113306,0.451,0.824,4.88638462332721e-126
"VEGFD",6.31958197200969e-128,0.775858884260918,0.453,0.081,1.84759298533675e-123
"SLC66A1L",8.3728765655531e-120,0.715242464770315,0.451,0.086,2.44789419270511e-115
"RPS29",9.66777572361554e-119,0.807870716258873,0.785,0.371,2.82647091055624e-114
"CFD",7.52084432055384e-118,1.0717691815228,0.959,0.719,2.19879404555712e-113
"RPS6KA2",3.08619891716495e-115,0.82870414045023,0.629,0.21,9.02281115422345e-111
"HTRA3",1.01261150910903e-112,0.753855927314603,0.682,0.256,2.96047100803117e-108
"ZBTB16",3.03601321800695e-105,0.931395729803453,0.934,0.733,8.87608824416512e-101
"ZNF521",2.12756711896841e-104,1.08724582742403,0.676,0.309,6.22015522901603e-100
"RPS4Y1",6.03645818599559e-101,0.391092958940639,0.307,0.034,1.76481891525767e-96
"PPM1L",7.31814011777353e-100,0.901313343903818,0.33,0.047,2.13953144483227e-95
"FKBP5",1.17185854133375e-99,0.948189072193581,0.897,0.621,3.42604563144336e-95
"MFGE8",1.61845557072925e-99,0.720896301859682,0.794,0.409,4.73171670658405e-95
"RPL37A",6.24691921770993e-98,0.795904247537411,0.821,0.488,1.82634930248967e-93
"PLA2G5",1.66098924809699e-97,0.907331116489306,0.765,0.387,4.85606816573635e-93
"TGFBR3",1.96506464162071e-97,1.0048619821557,0.778,0.428,5.7450629862423e-93
"MT-ND3",2.86227884523268e-97,0.832671786708383,0.948,0.767,8.36815843192226e-93
"NEGR1",1.4910823612867e-96,1.14374888475683,0.934,0.834,4.3593283914578e-92
"S100A13",1.59777510257937e-96,0.733421192768367,0.68,0.306,4.67125528990104e-92
"USP9Y",4.74745484462218e-96,0.545010390387329,0.438,0.098,1.38796589837374e-91
"HIST1H1C",6.50837228781069e-96,0.397126429601902,0.284,0.03,1.90278772206433e-91
"RPL37",8.60593196455458e-96,0.779066081118001,0.767,0.411,2.51603026915718e-91
"CALCRL",3.23278049409467e-95,0.923983943266609,0.574,0.21,9.45135705253519e-91
"PLD1",5.77213624462782e-95,0.977089681831912,0.659,0.295,1.68754175247939e-90
"SCARA5",7.33273024002138e-95,0.660486173283987,0.561,0.18,2.14379701297265e-90
"ADH1C",1.17746828858844e-93,0.475786526174011,0.23,0.013,3.44244628851717e-89
"JUP",6.80376608690448e-93,0.44101350477724,0.355,0.063,1.98914905316739e-88
"MT-ATP8",2.77716839087839e-92,0.497131886780262,0.452,0.117,8.11932950757206e-88
"TXNIP",6.63027829182555e-92,0.83885786172933,0.88,0.573,1.93842816139812e-87
"AC002546.1",1.90099973397431e-90,0.443553309262501,0.305,0.042,5.5577628222473e-86
"AC104574.2",8.13135497212628e-90,0.773902169963859,0.32,0.051,2.37728293965084e-85
"JADE1",6.56447394688054e-89,0.655322858488867,0.58,0.222,1.91918960310999e-84
"RPL39",9.07354343283884e-89,0.694073064225411,0.68,0.313,2.65274115802476e-84
"IL6R",1.42422751896783e-88,0.401592829692803,0.299,0.041,4.16387157445434e-84
"RPS21",3.68638844676593e-88,0.652189655187093,0.626,0.264,1.07775252629649e-83
"EGR1",4.17269769903737e-88,-0.892061583455465,0.044,0.426,1.21992989929056e-83
"RIPOR3",1.27441259250824e-87,0.535928837066154,0.362,0.073,3.72587265545709e-83
"ABCA9-AS1",1.40820896815379e-87,0.848588227852472,0.668,0.307,4.11703973929441e-83
"ANGPTL1",1.43147796432503e-86,0.508609378758121,0.414,0.104,4.18506897650065e-82
"SH3D19",2.21256999286493e-86,0.904269044146691,0.802,0.478,6.46866963113992e-82
"RPS17",1.89668465222189e-85,0.65414566223091,0.712,0.344,5.54514724923591e-81
"TPCN1",2.28927559066948e-85,0.638936385377181,0.592,0.237,6.69292611688129e-81
"TMEM45A",1.14552840421625e-84,0.458258223288128,0.382,0.086,3.34906684256663e-80
"TMSB4X",1.70678669623472e-84,0.766341133694201,0.867,0.585,4.98996158511182e-80
"TFPI",1.93194249724751e-84,0.78794508763766,0.903,0.665,5.64822708495281e-80
"COL1A2",8.45003809600984e-84,-1.09654804485096,0.594,0.822,2.47045313774944e-79
