"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINC00278",9.7450415135962e-152,2.1407743184131,0.787,0.171,2.84906033691498e-147
"UTY",7.48497862398773e-106,1.05432627967155,0.722,0.185,2.18830835050905e-101
"DEPTOR",7.94245150468983e-102,1.18740527512134,0.669,0.17,2.32205512191112e-97
"DLGAP2",2.78091266851787e-97,0.901845678570739,0.389,0.03,8.13027627767883e-93
"ADAMTS2",3.37744914019259e-96,0.922174106607302,0.495,0.072,9.87431030626704e-92
"AL034397.3",7.58082283258694e-96,0.962260749306375,0.646,0.162,2.21632936333512e-91
"DAAM2",1.16360975834215e-85,1.09565877633851,0.637,0.174,3.4019294894891e-81
"MS4A4E",1.32447153233814e-85,1.4416399338655,0.891,0.58,3.87222497194378e-81
"C2CD5",6.44292352334044e-83,1.1207989835495,0.81,0.397,1.88365312128381e-78
"CSGALNACT1",2.92970536120216e-82,1.25424521112378,0.85,0.389,8.56528659401063e-78
"WDR26",1.89261309655488e-80,1.60371075007087,0.789,0.425,5.53324364908785e-76
"MALAT1",2.81902618480228e-80,-0.846307449076859,0.995,0.999,8.24170495388794e-76
"CPM",3.26597907678188e-80,1.19433969834504,0.882,0.461,9.54841642887951e-76
"KCNMA1",4.14629903128318e-78,1.62609209052625,0.817,0.444,1.21221198478595e-73
"DLEU1",1.1158546793804e-77,1.00812471068192,0.674,0.239,3.26231274063655e-73
"METTL7A",1.63136519686049e-77,0.520645792809263,0.444,0.073,4.76945928954132e-73
"KCNE1",3.85853584301995e-77,0.865122030995179,0.567,0.146,1.12808153906531e-72
"NAMPT",8.42862592897526e-76,-2.44085828113651,0.153,0.64,2.46419307659521e-71
"FKBP5",7.80546605533799e-75,1.20493357671952,0.954,0.832,2.28200605593861e-70
"AC053513.1",1.11127389529448e-73,0.660916728431435,0.505,0.112,3.24892036028294e-69
"S100A9",2.24339350481852e-72,0.614988559691193,0.428,0.074,6.55878525068741e-68
"VSIG4",1.96809084056917e-70,1.08850854074949,0.84,0.471,5.75391038148802e-66
"PRKAG2",2.21694861628617e-70,1.03997091107678,0.845,0.498,6.48147097457424e-66
"XIST",4.82758067814765e-69,-1.32847543973531,0,0.481,1.41139148706325e-64
"CD302",6.4808603403985e-68,0.774486089355768,0.785,0.363,1.8947443291189e-63
"CD163",1.53824227576746e-65,0.97434594383068,0.981,0.813,4.49720511743375e-61
"SMAP2",6.43481370805204e-65,0.960647032186926,0.877,0.547,1.8812821356861e-60
"VNN2",8.52346655294893e-65,0.417012661362106,0.331,0.041,2.49192068142015e-60
"SESN1",1.77359337356872e-64,0.884664465980991,0.806,0.404,5.1852775869655e-60
"PDCD4",2.6031001824391e-64,0.65753708043492,0.558,0.167,7.61042369337894e-60
"USP9Y",1.26221476596912e-63,0.710008316510629,0.523,0.143,3.69021108978731e-59
"TLR4",6.94084708417652e-63,0.771027915016317,0.757,0.363,2.02922605352985e-58
"GFOD1",4.97340178052104e-62,0.994781480209268,0.539,0.164,1.45402374455313e-57
"MDFIC",4.60020451987718e-61,0.861408291648726,0.63,0.236,1.34491579343129e-56
"LYVE1",9.85479430649587e-61,1.05761882578885,0.792,0.436,2.88114766344713e-56
"CNIH3",1.51354858953246e-59,0.676532741662126,0.347,0.059,4.4250106563571e-55
"DERA",6.40392339587707e-59,0.821267084395949,0.681,0.292,1.87225104401862e-54
"WWP1",8.30802627604029e-59,1.01376585188505,0.799,0.466,2.42893456206314e-54
"PTK2B",1.2348412835281e-58,0.812318214376903,0.66,0.267,3.61018197652275e-54
"EVI2B",1.37216677554582e-58,0.520835259967245,0.444,0.105,4.01166678498577e-54
"FCHO2",6.65886466146286e-57,0.910984198198861,0.868,0.604,1.94678567242528e-52
"SEMA6A",2.5134760358886e-56,0.610629230252216,0.308,0.045,7.34839853852391e-52
"CELF2",2.30083351824019e-55,0.844008619013039,0.938,0.795,6.72671687392703e-51
"AL392172.2",3.98846234120176e-55,0.500488488657088,0.303,0.044,1.16606685007375e-50
"GPR34",1.22313994930065e-53,0.701802520258555,0.637,0.257,3.57597195577537e-49
"ADGRL2",1.28510672790489e-53,0.875056219806615,0.269,0.034,3.75713802970274e-49
"DLEU2",1.33180900002325e-53,1.02771272349687,0.887,0.693,3.89367679246796e-49
"IRAK3",1.37969941865469e-52,0.895040906503677,0.882,0.61,4.03368922037884e-48
"FAM13A",1.61502503320268e-52,0.894556418076182,0.771,0.431,4.72168718707134e-48
"MAF",1.80685543701524e-52,0.812781696151589,0.861,0.566,5.28252255565776e-48
"ATF7IP",2.18402470197861e-52,0.796775990463218,0.748,0.387,6.38521461870466e-48
"AC005165.1",2.50114123615079e-52,0.332906802624432,0.227,0.019,7.31233651801046e-48
"CCND3",4.98615862032824e-52,0.784972421637862,0.644,0.281,1.45775333423916e-47
"TPK1",8.09604673724965e-52,0.919859227855403,0.734,0.392,2.36696022410231e-47
"CSF2RA",1.67938944406858e-51,0.505602291222583,0.572,0.201,4.90986297867889e-47
"UACA",2.10058310791193e-51,0.672737957714102,0.544,0.19,6.14126477429132e-47
"SPTLC2",4.74645865256558e-51,0.740279110978778,0.801,0.451,1.38767465166407e-46
"AC012150.1",1.69566757103919e-50,0.330989599630141,0.257,0.031,4.95745371069017e-46
"HSPBAP1",2.56688620903201e-50,0.599845662914142,0.581,0.222,7.50454852072598e-46
"MRVI1-AS1",8.35620782034007e-50,0.397858411104082,0.345,0.069,2.44302091835462e-45
"TTC7A",1.05069429587114e-49,0.565710057665654,0.516,0.172,3.07180984340887e-45
"APBB1IP",1.43400225032875e-49,0.918432966193504,0.713,0.379,4.19244897906114e-45
"CYBB",1.63513023290681e-49,0.97150065637336,0.738,0.42,4.78046674892635e-45
"SLC11A1",3.24998649000852e-49,0.724342781657587,0.6,0.229,9.50166050218891e-45
"LINC02649",9.61310847567584e-49,0.754136135617544,0.532,0.195,2.81048839394859e-44
"MERTK",1.04799802714369e-48,0.918356921416332,0.898,0.701,3.0639270321573e-44
"SAP30",4.61742940313979e-48,0.460265768968824,0.428,0.119,1.34995166030195e-43
"LRRK2",1.06301857319023e-47,0.750889179514667,0.688,0.312,3.10784110057895e-43
