"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGFBP6",1.66782687240816e-17,1.18036674816396,0.508,0.051,4.8760586441725e-13
"DENND3",1.98165501641964e-15,0.886081408345726,0.644,0.133,5.79356660600446e-11
"PLCG2",4.83109451933301e-14,1.18720972026979,0.983,0.974,1.4124187936722e-09
"FKBP5",9.74918046621365e-12,1.58480108932684,0.898,0.667,2.85027040110222e-07
"XIST",2.3804245657121e-10,-1.45066140900957,0,0.467,6.95940926031588e-06
"COL4A1",1.43945902804108e-09,-1.81447154672026,0.22,0.626,4.2084024143809e-05
"RGCC",4.13181473317192e-09,0.453385242570375,0.322,0.046,0.000120797735539014
"KALRN",6.80937777267187e-09,1.30425362454798,0.814,0.538,0.000199078968561835
"AC002546.1",1.87284674121629e-08,0.523700206654592,0.441,0.118,0.000547545473261995
"UTY",3.56727706824733e-08,0.609210046967833,0.339,0.067,0.00104292912367279
"SPOCK1",7.8535470756683e-08,0.717491762983566,0.186,0.01,0.00229606302304238
"SCGN",1.12713516842599e-07,0.676934132939401,0.271,0.041,0.00329529237841022
"DCN",1.18946176725015e-07,1.15990264560424,0.627,0.308,0.00347751042273253
"AC092164.1",1.49551073388702e-07,0.535653439997752,0.407,0.113,0.00437227518159209
"MT-ATP8",2.03533647568873e-07,0.500056370855322,0.339,0.077,0.00595050972032358
"PTH1R",3.06051781962169e-07,0.625151590836855,0.576,0.236,0.00894772989744597
"USP9Y",4.09951005088958e-07,0.59915638230391,0.339,0.082,0.0119853275847808
"CARMIL1",6.66892755352422e-07,0.859511687941823,0.763,0.456,0.0194972765954834
"PTPRG",9.37168398647384e-07,0.771643022817318,0.966,0.887,0.0273990553028549
"BTG1",9.87834260494318e-07,0.657331996586005,0.61,0.308,0.0288803224398119
"MT-ND3",1.36147966852756e-06,0.865863327348464,0.915,0.744,0.0398042195890717
"TTTY14",1.72830150082583e-06,0.711976212638215,0.305,0.072,0.0505286226781439
"AL499616.1",1.95478612617517e-06,0.760907452300523,0.39,0.133,0.0571501271848574
"AFF2",2.49809878841581e-06,0.452882648926244,0.153,0.01,0.0730344161781246
"NRG2",2.55630660099832e-06,0.335990157287706,0.169,0.015,0.0747361797867869
"H1FX",2.69385617297609e-06,0.318694904711933,0.305,0.072,0.078757579073129
"SCN3A",3.69083187583078e-06,0.72909244350777,0.627,0.333,0.107905160721789
"RGS5",3.87378377407476e-06,0.708490036859968,0.847,0.585,0.11325394241885
"SLC39A11",3.92658206467626e-06,0.750313072063264,0.542,0.262,0.114797553242875
"PLA2G5",3.98939109834588e-06,0.94852696393376,0.898,0.8,0.11663383815124
"SYN3",4.47461716302286e-06,0.7000252101535,0.373,0.118,0.130819907378136
"ADD3",4.53433413221296e-06,0.618753819638705,0.356,0.113,0.132565792689378
"ZBTB7C",4.70445177196182e-06,0.90432147681001,0.593,0.287,0.137539352005076
"AC007614.1",5.03493186078018e-06,0.757551898293396,0.305,0.082,0.147201267881769
"AC012409.2",5.49671551241342e-06,0.831602468304282,0.712,0.467,0.160701974720919
"TMSB4X",6.37092110988248e-06,0.624575779597565,0.729,0.4,0.186260249568524
"CPM",1.04323183632954e-05,1.40918543865984,0.441,0.195,0.304999259669306
"AP002518.2",1.049642788189e-05,0.630820340923547,0.458,0.2,0.306873565554937
"TMTC1",1.39145165651932e-05,0.83984646239919,0.576,0.323,0.406804806299989
"SOX5",1.48316890408704e-05,0.786825949278242,0.864,0.785,0.433619260798887
"AL158152.1",1.49674511191452e-05,0.536383733630602,0.424,0.174,0.437588400919328
"HIGD1B",1.58917299211749e-05,0.513790481889151,0.441,0.174,0.46461061597547
"CDC40",1.88514067523315e-05,0.32802829442378,0.254,0.062,0.551139727811163
"AC100803.4",1.89403962684383e-05,0.762161969806432,0.542,0.292,0.553741425304062
"ZBTB16",1.94566673029217e-05,0.680027136908181,0.949,0.856,0.568835125268219
"TIMP3",2.04978935581338e-05,0.963474123974886,0.797,0.595,0.5992764160656
"PPP1CB",2.21021812842964e-05,0.629339387800288,0.644,0.374,0.646179372027689
"SUN2",2.35235306452687e-05,0.351878000498223,0.186,0.031,0.687733941945075
"BICRAL",2.4017367837875e-05,0.492324554296393,0.407,0.159,0.702171766108113
"COL4A2",2.53539906834314e-05,-1.35710682677588,0.525,0.677,0.741249271620801
"ADAMTS1",2.74993177813979e-05,-1.00393098706492,0.203,0.477,0.803970054656949
"GPX3",2.97890535514789e-05,0.399286977593602,0.237,0.056,0.870912769631038
"NDUFV2",3.72074928756895e-05,0.309649765108926,0.339,0.108,1
"SMC4",4.43446651644629e-05,0.40948503268872,0.271,0.077,1
"EBF1",6.14258037945807e-05,0.830253020033704,0.831,0.697,1
"PPM1E",6.25670213147876e-05,0.483026509346543,0.136,0.015,1
"PTEN",6.43387836224815e-05,0.689921846227093,0.814,0.713,1
"AC019197.1",6.46184175897723e-05,0.55005526026793,0.508,0.226,1
"RECQL",7.21119788160789e-05,0.256300340515992,0.186,0.036,1
"OVCH1-AS1",7.51199969085399e-05,0.252382564436075,0.119,0.01,1
"ZNF676",8.25619986229291e-05,0.351228868860325,0.356,0.128,1
"TPCN1",8.39242931292251e-05,0.418025926153718,0.373,0.149,1
"CPE",9.06090614614197e-05,-0.702262043134237,0.322,0.615,1
"NR2F2",9.85672374951366e-05,0.473334663601611,0.695,0.436,1
"RAPH1",9.96827569741697e-05,0.709312038500854,0.492,0.251,1
"AC072022.2",0.000100639424202215,0.263460132088858,0.169,0.031,1
"DTNA",0.00013750500159044,0.660961666777382,0.525,0.292,1
"TCF15",0.000145201893901952,0.256764184856833,0.271,0.082,1
"TLE1",0.00015246148480954,0.546724943880039,0.661,0.41,1
"ADH1B",0.000155616753249063,0.773596864868716,0.153,0.026,1
"MAOA",0.000170213717114765,0.354318814442654,0.237,0.067,1
"AC027018.1",0.00017773373612581,0.326137887897495,0.153,0.026,1
