p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.2041700526898764,0.985,0.003,0,Adipocyte,SLC19A3
0,2.735825316876989,0.926,0.001,0,Adipocyte,ADIPOQ
0,2.5572511922111243,0.926,0.003,0,Adipocyte,PLIN1
0,2.2359842506232157,0.853,0.008,0,Adipocyte,ACVR1C
0,2.200063086189739,0.794,0.012,0,Adipocyte,PTGER3
0,2.174266093727562,0.868,0.006,0,Adipocyte,TRHDE
0,2.0232830723389297,0.853,0.002,0,Adipocyte,GYG2
0,1.767874078897614,0.868,0.002,0,Adipocyte,CIDEA
0,1.7546856358838685,0.647,0.014,0,Adipocyte,LINC02240
0,1.7351425706528818,0.765,0.006,0,Adipocyte,LVRN
0,1.6419634660364255,0.691,0.002,0,Adipocyte,LINC02607
0,1.6062879420736973,0.632,0.003,0,Adipocyte,NWD2
0,1.6053185556329475,0.691,0,0,Adipocyte,TRHDE-AS1
0,1.6048268547621993,0.809,0.026,0,Adipocyte,MARC1
0,1.603158662531953,0.691,0.014,0,Adipocyte,MEST
0,1.5479711265744305,0.485,0.008,0,Adipocyte,AL136119.1
0,1.369079356202167,0.735,0.012,0,Adipocyte,PTPRF
0,1.3506368794992596,0.75,0.003,0,Adipocyte,GPD1
0,1.3187557859209227,0.676,0.002,0,Adipocyte,RBP4
0,1.212056725807666,0.632,0.014,0,Adipocyte,PC
0,1.1394163872425123,0.603,0.001,0,Adipocyte,CIDEC
0,1.1270575560723914,0.588,0.01,0,Adipocyte,AC007529.2
0,1.0964632765992866,0.603,0.003,0,Adipocyte,PFKFB1
0,0.9483118466281135,0.529,0.006,0,Adipocyte,MLXIPL
0,0.8190749309177098,0.471,0,0,Adipocyte,ADIPOQ-AS1
0,0.7881400817053488,0.426,0.005,0,Adipocyte,DGAT2
0,0.769636257009568,0.397,0,0,Adipocyte,PCK1
0,0.7685786918742037,0.426,0.001,0,Adipocyte,TRARG1
0,0.7309528661899327,0.206,0.001,0,Adipocyte,SAA1
0,0.6703492939147143,0.382,0.005,0,Adipocyte,S100B
0,0.6663664493442502,0.426,0.001,0,Adipocyte,LGALS12
0,0.6356138382137306,0.324,0.003,0,Adipocyte,LRRIQ3
0,0.6214114719758216,0.353,0.003,0,Adipocyte,CNTFR
0,0.6191281703631604,0.426,0.005,0,Adipocyte,MRAP
0,0.6083089544296872,0.353,0.003,0,Adipocyte,KLB
0,0.5269823771955342,0.279,0,0,Adipocyte,LINCADL
0,0.4634256608129006,0.309,0.003,0,Adipocyte,SGK2
0,0.3715277615669098,0.265,0,0,Adipocyte,SLC7A10
0,0.3373030093783411,0.235,0.001,0,Adipocyte,HEPACAM
1.482867955840139e-300,0.38580263572071366,0.221,0.001,4.3353127556942306e-296,Adipocyte,TTPA
2.788599709759499e-287,3.1476791756877334,0.912,0.04,8.152750111452871e-283,Adipocyte,TMEM132C
6.769816663127912e-281,1.750660418497452,0.838,0.034,1.9792235996320763e-276,Adipocyte,PLIN4
1.0916283204726852e-275,0.4321348173261539,0.265,0.003,3.1914845577339424e-271,Adipocyte,PLAAT5
2.735926949686971e-272,0.38562651473643966,0.221,0.002,7.998756030104829e-268,Adipocyte,AL845331.2
2.5911156403255916e-253,1.6469766160677328,0.691,0.025,7.5753856860559e-249,Adipocyte,SEMA3A
4.515937578918717e-251,1.0287144809107247,0.632,0.02,1.320279510572676e-246,Adipocyte,PECR
1.6081047898110381e-236,2.512498820683806,0.824,0.039,4.701455163491551e-232,Adipocyte,LINC00598
1.255662687544218e-235,0.8635766522805601,0.397,0.008,3.671055433304276e-231,Adipocyte,DUSP4
1.2166219580468713e-229,0.8965704103445945,0.441,0.01,3.556915956545833e-225,Adipocyte,FASN
6.452735803294847e-219,2.2034451722964628,0.735,0.033,1.8865218394512816e-214,Adipocyte,CD96
1.088735796436393e-218,0.9326131602701254,0.382,0.008,3.1830279744614386e-214,Adipocyte,SCD
1.9604843581275886e-214,0.7527204079847619,0.426,0.011,5.731672069421818e-210,Adipocyte,MREG
2.3604847076964094e-210,0.353276922399373,0.162,0.001,6.901113091421223e-206,Adipocyte,THRSP
5.9449186657778005e-207,0.9946370154014977,0.618,0.024,1.7380564211267977e-202,Adipocyte,KCNIP2-AS1
9.679959579125125e-204,2.4230632179208085,0.882,0.055,2.8300329825530217e-199,Adipocyte,PRKAR2B
2.245864474813851e-185,1.3722362978272424,0.824,0.05,6.566009378565774e-181,Adipocyte,RDH5
1.7711183081655193e-181,0.3814938489867462,0.25,0.004,5.178041485752712e-177,Adipocyte,MKX
4.328706889756643e-181,0.8753342738147099,0.338,0.008,1.2655407462892522e-176,Adipocyte,HPSE2
6.491039419494559e-181,0.7170379247040088,0.5,0.018,1.897720284683429e-176,Adipocyte,AOC3
2.306193538089329e-176,2.4237583012207997,0.735,0.042,6.742387427957962e-172,Adipocyte,GPAM
5.461340693385728e-175,1.45721804990354,0.765,0.046,1.5966775651182516e-170,Adipocyte,ANGPTL4
7.000648142111819e-172,0.8053484779044182,0.471,0.017,2.0467094908278115e-167,Adipocyte,GPT2
2.0326537547274878e-171,0.3664218060070993,0.235,0.004,5.942666517321283e-167,Adipocyte,CEBPA
4.131968737732141e-166,0.31866776572377564,0.176,0.002,1.2080223801633686e-161,Adipocyte,GLYAT
1.8810353755729149e-159,2.3283482068731236,0.735,0.048,5.499395024024974e-155,Adipocyte,G0S2
4.878947026202622e-155,0.3794757865661292,0.265,0.005,1.4264089525805985e-150,Adipocyte,TF
2.4688464840561294e-147,0.8881183970698682,0.5,0.022,7.2179195807865e-143,Adipocyte,ADAM12
5.274552304212809e-144,2.138595449259539,0.882,0.081,1.542068111659657e-139,Adipocyte,PNPLA2
5.444225218531888e-143,0.4230143514605708,0.294,0.007,1.5916736848899827e-138,Adipocyte,CHRDL1
6.716792456466737e-138,2.7022609492560887,0.941,0.094,1.9637214425726153e-133,Adipocyte,MGST1
2.6033986789629535e-136,0.34248331406951565,0.235,0.005,7.611296377816091e-132,Adipocyte,PTPRQ
3.098499450360127e-135,1.9553166065673777,0.868,0.078,9.058772993072868e-131,Adipocyte,ADAMTS12
