p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.051098601891348,0.987,0.577,0,Pericyte_i,DLC1
0,2.6217353329238597,0.927,0.071,0,Pericyte_i,RGS5
0,2.4529201837396717,0.864,0.058,0,Pericyte_i,GUCY1A2
0,2.406807011097922,0.865,0.161,0,Pericyte_i,PLA2G5
0,2.4057478282979656,0.918,0.223,0,Pericyte_i,ABCC9
0,2.317719580962625,0.943,0.261,0,Pericyte_i,EPS8
0,2.2361309608170914,0.839,0.042,0,Pericyte_i,EGFLAM
0,2.101781236320736,0.882,0.218,0,Pericyte_i,FRMD3
0,1.9668721903873994,0.812,0.091,0,Pericyte_i,NR2F2-AS1
0,1.8482121496629929,0.862,0.227,0,Pericyte_i,SOX5
0,1.8336870582217668,0.817,0.083,0,Pericyte_i,CPE
0,1.8172594960192137,0.835,0.142,0,Pericyte_i,MYO1B
0,1.7523931469068632,0.722,0.082,0,Pericyte_i,CARMN
0,1.7100978824876152,0.887,0.423,0,Pericyte_i,PARD3
0,1.6975179746746907,0.816,0.125,0,Pericyte_i,PDGFRB
0,1.6839742191667968,0.873,0.376,0,Pericyte_i,PDE1C
0,1.6539998524555046,0.986,0.603,0,Pericyte_i,PRKG1
0,1.634408827972631,0.932,0.502,0,Pericyte_i,CALD1
0,1.612021560106497,0.943,0.637,0,Pericyte_i,LHFPL6
0,1.6096520689800131,0.858,0.249,0,Pericyte_i,SPARC
0,1.6057157269761095,0.76,0.138,0,Pericyte_i,ADGRB3
0,1.5616668687485715,0.717,0.051,0,Pericyte_i,AGT
0,1.5518385697731485,0.644,0.105,0,Pericyte_i,RNF152
0,1.5493301747444828,0.697,0.278,0,Pericyte_i,RAD51B
0,1.5462510640353797,0.754,0.119,0,Pericyte_i,CLMN
0,1.545962973306381,0.846,0.407,0,Pericyte_i,PTEN
0,1.5428354743821644,0.954,0.538,0,Pericyte_i,IGFBP7
0,1.5042264910535221,0.761,0.169,0,Pericyte_i,MAP1B
0,1.4827427795674457,0.799,0.324,0,Pericyte_i,ADAMTS9-AS2
0,1.4748153785099252,0.86,0.49,0,Pericyte_i,PDZD2
0,1.4572900515708194,0.595,0.034,0,Pericyte_i,BMP5
0,1.423201880863396,0.662,0.172,0,Pericyte_i,SLC12A2
0,1.4131280626100184,0.873,0.463,0,Pericyte_i,ARHGAP10
0,1.4115028643002832,0.615,0.062,0,Pericyte_i,SLC16A12
0,1.387708051049359,0.593,0.048,0,Pericyte_i,AC012409.2
0,1.3823887495267195,0.792,0.391,0,Pericyte_i,NBEAL1
0,1.3773936261851336,0.627,0.046,0,Pericyte_i,NDUFA4L2
0,1.3770991287452805,0.976,0.769,0,Pericyte_i,RBMS3
0,1.3464623174972172,0.678,0.104,0,Pericyte_i,STEAP4
0,1.330649082856448,0.693,0.088,0,Pericyte_i,NR2F2
0,1.3266348733179116,0.683,0.155,0,Pericyte_i,GUCY1A1
0,1.325139261063075,0.755,0.32,0,Pericyte_i,PDE7B
0,1.3188280150998395,0.752,0.169,0,Pericyte_i,EBF2
0,1.31630089532661,0.817,0.34,0,Pericyte_i,APBB2
0,1.3070733445282954,0.67,0.132,0,Pericyte_i,MSC-AS1
0,1.2943345333509644,0.872,0.374,0,Pericyte_i,EBF1
0,1.2840614885074166,0.942,0.51,0,Pericyte_i,SPARCL1
0,1.270448906929043,0.537,0.065,0,Pericyte_i,NGF
0,1.270324025298072,0.688,0.185,0,Pericyte_i,ARHGAP42
0,1.2649511367114497,0.652,0.06,0,Pericyte_i,NFASC
0,1.2645602125353812,0.722,0.242,0,Pericyte_i,SH3RF1
0,1.2289596903191293,0.691,0.202,0,Pericyte_i,ARHGAP6
0,1.2116083445628631,0.627,0.051,0,Pericyte_i,KCNJ8
0,1.1683420466961176,0.622,0.037,0,Pericyte_i,NOTCH3
0,1.1462886149892015,0.626,0.11,0,Pericyte_i,CPM
0,1.1165039217364767,0.488,0.03,0,Pericyte_i,ENPEP
0,1.1118495930016108,0.58,0.116,0,Pericyte_i,DUBR
0,1.105894798720305,0.698,0.221,0,Pericyte_i,MFGE8
0,1.0844710882631854,0.705,0.206,0,Pericyte_i,TFPI
0,1.0792693001865727,0.632,0.159,0,Pericyte_i,DACH1
0,1.0555239208473794,0.512,0.023,0,Pericyte_i,HIGD1B
0,1.0432405584663922,0.361,0.009,0,Pericyte_i,LINC01099
0,1.0372036840671262,0.478,0.045,0,Pericyte_i,ADAMTS12
0,1.0323164352043976,0.436,0.02,0,Pericyte_i,FHL5
0,1.0257618101575887,0.68,0.264,0,Pericyte_i,PACSIN2
0,1.0196645996496596,0.513,0.061,0,Pericyte_i,RIPOR3
0,1.0168646329926143,0.519,0.037,0,Pericyte_i,GJA4
0,0.990950920823559,0.456,0.051,0,Pericyte_i,CYSLTR2
0,0.9731026710183499,0.605,0.181,0,Pericyte_i,ADAMTSL3
0,0.970478215179342,0.547,0.067,0,Pericyte_i,GUCY1B1
0,0.9658652451097538,0.426,0.016,0,Pericyte_i,LINC02237
0,0.9629168154926846,0.554,0.151,0,Pericyte_i,ADGRL3
0,0.9565311592761256,0.572,0.121,0,Pericyte_i,SPECC1
0,0.9468685634939041,0.49,0.025,0,Pericyte_i,COX4I2
