p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.910367110184966,0.995,0.32,0,0,FGF12
0,2.882045632501728,0.999,0.361,0,0,RYR2
0,2.7005960730890024,0.987,0.362,0,0,FHL2
0,2.2686486891748214,0.987,0.287,0,0,SGCD
0,2.253426498114809,0.987,0.288,0,0,CTNNA3
0,2.247610837903657,0.882,0.167,0,0,LINC02208
0,2.2325245422351436,1,0.572,0,0,TTN
0,2.195121081575777,0.985,0.238,0,0,MLIP
0,2.1794213698858895,0.96,0.152,0,0,AC092353.2
0,2.131475496986231,0.994,0.224,0,0,LDB3
0,2.0919297992623083,0.987,0.218,0,0,RBM20
0,2.0575211317240116,0.989,0.39,0,0,SORBS2
0,2.0451214679787637,0.993,0.533,0,0,SLC8A1
0,2.0140538459321453,0.974,0.496,0,0,DMD
0,1.9661216340183847,0.981,0.256,0,0,CACNB2
0,1.9554467062810363,0.958,0.159,0,0,PLCXD3
0,1.9409672947179022,0.983,0.346,0,0,TTN-AS1
0,1.9341325620954133,0.997,0.285,0,0,NEBL
0,1.932575758624757,0.978,0.164,0,0,TRDN-AS1
0,1.8908411949831645,0.969,0.18,0,0,TNNI3K
0,1.8902037282560806,0.987,0.38,0,0,PPP1R12B
0,1.8851898642523603,0.993,0.201,0,0,MYBPC3
0,1.8822965262655706,0.943,0.128,0,0,TMEM178B
0,1.878955395399561,0.986,0.554,0,0,CACNA1C
0,1.849685148701813,0.989,0.471,0,0,PDE3A
0,1.8373614494666288,0.971,0.16,0,0,ERBB4
0,1.827485566817622,0.957,0.194,0,0,PDZRN3
0,1.8246098595639957,0.979,0.177,0,0,TRDN
0,1.8012568117768484,0.976,0.193,0,0,TECRL
0,1.7933671802810889,0.973,0.185,0,0,CDH2
0,1.7787111428950202,0.983,0.23,0,0,CMYA5
0,1.7680931591834557,0.963,0.214,0,0,THSD4
0,1.7601498286081192,0.966,0.153,0,0,ESRRG
0,1.7211273735087191,0.958,0.256,0,0,ANK2
0,1.7090186867324668,0.973,0.162,0,0,FHOD3
0,1.7072150067529082,0.861,0.14,0,0,AC011287.1
0,1.6968267104562376,0.967,0.183,0,0,AKAP6
0,1.6492937912663688,0.961,0.271,0,0,PXDNL
0,1.624112995265635,0.894,0.126,0,0,CHRM2
0,1.6215440787043844,0.95,0.188,0,0,CCSER1
0,1.6019399180310323,0.92,0.29,0,0,IL1RAPL1
0,1.5950292661042713,0.907,0.13,0,0,AC138305.1
0,1.560460534197073,0.975,0.552,0,0,PSD3
0,1.5590596792708438,0.897,0.12,0,0,SPHKAP
0,1.533191077137698,0.942,0.191,0,0,RBFOX1
0,1.501555176489531,0.962,0.166,0,0,MYOM2
0,1.4849728558423525,0.978,0.185,0,0,ACTN2
0,1.4754044797330181,0.915,0.137,0,0,MTUS2
0,1.4736644695062484,0.945,0.265,0,0,KANK1
0,1.4722561450573273,0.97,0.439,0,0,DLG2
0,1.4672187319670065,0.954,0.205,0,0,MYOZ2
0,1.4564911204889581,0.916,0.145,0,0,DPF3
0,1.4539710160020192,0.917,0.125,0,0,MYLK3
0,1.4497155004515616,0.971,0.28,0,0,RCAN2
0,1.4418391188335793,0.98,0.244,0,0,NEXN
0,1.4258583639842315,0.979,0.216,0,0,MYOM1
0,1.424825734975568,0.906,0.126,0,0,AC090348.1
0,1.424502737057529,0.793,0.117,0,0,RALYL
0,1.4211614876178091,0.917,0.143,0,0,TENM2
0,1.409554228841182,0.931,0.159,0,0,EFNA5
0,1.3965656132393758,0.953,0.168,0,0,PKP2
0,1.3923342306161746,0.963,0.209,0,0,LMO7
0,1.38536022143272,0.893,0.146,0,0,PACRG
0,1.369152012184962,0.98,0.58,0,0,PDLIM5
0,1.3668994007759592,0.783,0.117,0,0,MACROD2
0,1.3638761009056521,0.941,0.238,0,0,MITF
0,1.363856395066191,0.965,0.381,0,0,PALLD
0,1.3581348923845429,0.914,0.139,0,0,SGCG
0,1.3581328765878373,0.847,0.131,0,0,AC097522.2
0,1.3510687081988138,0.971,0.395,0,0,CDH13
0,1.3459775939861414,0.94,0.174,0,0,NCAM1
0,1.338200531791867,0.86,0.124,0,0,LINC01505
0,1.3375604309442721,0.955,0.161,0,0,DPY19L2
0,1.321921147811767,0.842,0.11,0,0,KCND3
0,1.309746004095118,0.973,0.221,0,0,PDE4DIP
