p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.0247416511978016,0.992,0.981,0,Normal,PLCG2
0,0.9493120825972016,0.319,0.082,0,Normal,GPX3
0,0.939924811112991,0.9,0.647,0,Normal,MT-ND3
0,0.7983380660118118,0.617,0.3,0,Normal,RPS27
0,0.7295622804565279,0.522,0.141,0,Normal,UTY
0,0.6329327214226858,0.314,0.033,0,Normal,CYP4B1
0,0.6005829116147045,0.27,0.034,0,Normal,GALNT15
0,0.5087813651497006,0.396,0.115,0,Normal,USP9Y
0,0.4786992773641575,0.368,0.093,0,Normal,RPS10
0,0.4380922643441094,0.368,0.104,0,Normal,MT-ATP8
0,-0.621761536196435,0.996,0.999,0,Normal,MALAT1
0,-1.3520439015909924,0.003,0.497,0,Normal,XIST
3.1470684028256603e-304,0.6059347470575018,0.569,0.259,9.2007691825011e-300,Normal,RPS29
1.6788371577790772e-302,0.6641363839498333,0.891,0.664,4.90824831448291e-298,Normal,TXNIP
2.4528726535290676e-302,0.6570905274692193,0.387,0.119,7.171218489857582e-298,Normal,TTTY14
6.7231723647973e-275,0.6564231613173566,0.659,0.368,1.9655866725721385e-270,Normal,RPL37A
3.864010141346561e-272,0.7785673572387919,0.738,0.466,1.1296820049240806e-267,Normal,RPL41
2.1530634492548684e-269,0.5850756184164181,0.547,0.259,6.294696300241533e-265,Normal,RPL37
3.5191098514667353e-264,0.7818570950069006,0.392,0.144,1.0288469561748148e-259,Normal,CALCRL
1.826096356573439e-262,0.515571188023448,0.494,0.216,5.3387753080781065e-258,Normal,RPL38
3.3309900377221255e-248,0.2666811265630325,0.119,0.008,9.738482474284406e-244,Normal,NAA11
1.1788789847532415e-247,1.2901465037908468,0.257,0.069,3.4465705998245767e-243,Normal,LINC01088
2.0641694030954327e-239,0.6263557122655051,0.603,0.332,6.034805666889807e-235,Normal,RPS28
1.6753190190066592e-238,0.7577078766386643,0.206,0.042,4.897962683967869e-234,Normal,LINC00278
6.788236303362928e-228,0.26269707536843123,0.217,0.048,1.9846087656511855e-223,Normal,HIST1H4C
5.977588270719556e-222,0.30158582346071,0.237,0.06,1.7476077068275694e-217,Normal,H1FX
2.7276513168743297e-221,0.4842249818802888,0.488,0.231,7.97456139001379e-217,Normal,ATP5F1E
3.942447013856157e-219,0.43172256565694056,0.4,0.164,1.1526138089709862e-214,Normal,RPS21
4.0379552913265825e-218,0.4640859632584069,0.48,0.222,1.1805366089722397e-213,Normal,RPS17
3.708531851462092e-212,0.6164340803340163,0.911,0.753,1.0842263720934573e-207,Normal,MT-CO2
1.9005309935100585e-209,0.5609838659625188,0.76,0.504,5.556392412626007e-205,Normal,MT-ND2
1.5464266630532143e-204,0.4758898527235472,0.472,0.227,4.5211329921023775e-200,Normal,RPL39
5.305584556584083e-198,0.29133463751093613,0.131,0.018,1.5511407009629225e-193,Normal,SERPINA3
2.4190692467767177e-196,0.3018335448686658,0.261,0.081,7.072390849876412e-192,Normal,METTL7A
1.0370610686982979e-194,0.5488304201816483,0.848,0.64,3.031951740446344e-190,Normal,MT-CYB
2.3034850186974187e-190,0.4491753746738379,0.456,0.222,6.734468800663773e-186,Normal,RPL36
1.1422156563057109e-187,0.4995080777498884,0.364,0.155,3.339381692775376e-183,Normal,GNG11
3.1433770210445245e-187,1.0049334016570424,0.314,0.126,9.189977058725771e-183,Normal,MAMDC2
1.6708748792342176e-184,0.512005856697245,0.778,0.547,4.884969796929158e-180,Normal,MT-ND1
4.0758133311743306e-184,0.3809725208309186,0.406,0.182,1.1916047855021273e-179,Normal,RPL27
1.060174749471003e-182,-0.32813544346478923,0.003,0.193,3.0995268975534245e-178,Normal,TSIX
1.1606129850891218e-182,0.9748512023010029,0.214,0.062,3.393168123206556e-178,Normal,ADH1B
3.869489065568671e-182,0.474499394388901,0.528,0.287,1.1312838232096566e-177,Normal,RPL35A
1.323135442264098e-181,0.3488586720996687,0.42,0.195,3.868318779003317e-177,Normal,CALCOCO2
1.5013503183703617e-178,0.5067027022097236,0.498,0.273,4.38934779078759e-174,Normal,HIF3A
1.367122509021918e-177,0.50675750285849,0.55,0.309,3.996919367376479e-173,Normal,RPL34
2.075888417671289e-173,0.2980123316994321,0.271,0.095,6.069067377903781e-169,Normal,HSD17B11
4.682720347689357e-166,0.4724852845743036,0.594,0.353,1.3690401208504603e-161,Normal,RPLP2
1.4513595495168463e-165,0.4654969235599836,0.436,0.224,4.243194778967452e-161,Normal,LGALS3
9.481489345195318e-165,1.0638796937480062,0.316,0.137,2.7720082249613034e-160,Normal,IGFBP5
4.585189362290716e-164,0.5708287221908857,0.272,0.102,1.3405259619593138e-159,Normal,ADIRF
1.4671787632119067e-161,0.4921368406084208,0.834,0.642,4.28944383212633e-157,Normal,MT-ND4
2.5264375227081394e-160,0.7000985948243503,0.435,0.221,7.386292741389516e-156,Normal,AC007319.1
2.8870901307646235e-160,0.4686375453022227,0.56,0.332,8.440696706303453e-156,Normal,RPS25
3.957110430905331e-160,2.3676769262665047,0.418,0.224,1.1569008055794825e-155,Normal,APOD
1.7637034183703573e-159,0.4397891255868128,0.594,0.353,5.1563633139475765e-155,Normal,RPS16
