"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IFITM2",7.5869587254558e-120,3.24247564298478,0.33,0.108,2.27608761763674e-116,"Normal-Cardiomyocyte","IFITM2"
"IFITM3",1.34259833862079e-88,2.22669849651102,0.269,0.205,4.02779501586237e-85,"Normal-Cardiomyocyte","IFITM3"
"MYL3",3.80429393658033e-49,1.88690057367319,0.585,0.411,1.1412881809741e-45,"Normal-Cardiomyocyte","MYL3"
"LAMB2",1.03334366202741e-45,2.91592438195612,0.353,0.274,3.10003098608223e-42,"Normal-Cardiomyocyte","LAMB2"
"FABP5",3.18270295515125e-41,2.2589142585875,0.305,0.088,9.54810886545374e-38,"Normal-Cardiomyocyte","FABP5"
"RPS15",2.38675002677372e-35,2.20491718790359,0.509,0.187,7.16025008032115e-32,"Normal-Cardiomyocyte","RPS15"
"ATP6AP1",4.26163658979267e-34,3.927397883377,0.244,0.085,1.2784909769378e-30,"Normal-Cardiomyocyte","ATP6AP1"
"COX5B",1.49384754708748e-31,5.79532140742832,0.546,0.408,4.48154264126244e-28,"Normal-Cardiomyocyte","COX5B"
"GAPDH",8.95738853585553e-31,2.28427979575269,0.533,0.386,2.68721656075666e-27,"Normal-Cardiomyocyte","GAPDH"
"TUFM",2.50267989801275e-28,4.57069908426979,0.289,0.231,7.50803969403824e-25,"Normal-Cardiomyocyte","TUFM"
"RPS21",4.33016539919188e-28,1.590292362366,0.354,0.071,1.29904961975756e-24,"Normal-Cardiomyocyte","RPS21"
"COX6C",7.37291982145564e-28,1.044694558277,0.515,0.328,2.21187594643669e-24,"Normal-Cardiomyocyte","COX6C"
"ALDOA",3.41132797634405e-27,5.90053913207602,0.451,0.387,1.02339839290321e-23,"Normal-Cardiomyocyte","ALDOA"
"NDUFA1",4.74234785893983e-24,2.82245378408708,0.516,0.293,1.42270435768195e-20,"Normal-Cardiomyocyte","NDUFA1"
"COX6B1",2.67265062031047e-23,5.67662150724959,0.518,0.251,8.01795186093141e-20,"Normal-Cardiomyocyte","COX6B1"
"UQCR10",4.8772986972244e-21,3.53367726454854,0.5,0.306,1.46318960916732e-17,"Normal-Cardiomyocyte","UQCR10"
"FSTL1",6.66279932797966e-21,1.37159852782724,0.508,0.402,1.9988397983939e-17,"Normal-Cardiomyocyte","FSTL1"
"COX7B",5.47810375791209e-19,3.17621873734497,0.519,0.366,1.64343112737363e-15,"Normal-Cardiomyocyte","COX7B"
"GSTP1",6.81435235967311e-19,4.23217208555513,0.337,0.132,2.04430570790193e-15,"Normal-Cardiomyocyte","GSTP1"
"FOXO1",2.98088029168681e-17,1.16075564927729,0.379,0.333,8.94264087506042e-14,"Normal-Cardiomyocyte","FOXO1"
"NDUFS5",5.75512702326772e-16,1.06722403262695,0.493,0.277,1.72653810698032e-12,"Normal-Cardiomyocyte","NDUFS5"
"FABP3",1.0022183463958e-15,3.13887737325597,0.515,0.41,3.00665503918741e-12,"Normal-Cardiomyocyte","FABP3"
"MBNL2",3.80188562203898e-15,1.52758078450724,0.47,0.409,1.14056568661169e-11,"Normal-Cardiomyocyte","MBNL2"
"CYCS",7.01328580472322e-14,2.47241768950385,0.479,0.29,2.10398574141697e-10,"Normal-Cardiomyocyte","CYCS"
"S100A1",7.06766151694735e-14,0.833112032069656,0.526,0.364,2.12029845508421e-10,"Normal-Cardiomyocyte","S100A1"
"CHCHD2",9.30417574351735e-14,4.02383688690515,0.426,0.206,2.79125272305521e-10,"Normal-Cardiomyocyte","CHCHD2"
"PLEKHA7",6.0993576421829e-12,2.32762388599142,0.413,0.376,1.82980729265487e-08,"Normal-Cardiomyocyte","PLEKHA7"
"MYL9",9.19702794902837e-12,2.59407209889813,0.487,0.406,2.75910838470851e-08,"Normal-Cardiomyocyte","MYL9"
"OST4",1.64174041036874e-11,4.20771324974717,0.404,0.1,4.92522123110621e-08,"Normal-Cardiomyocyte","OST4"
"NDUFA13",2.87870181142548e-11,4.16907195022097,0.485,0.317,8.63610543427645e-08,"Normal-Cardiomyocyte","NDUFA13"
"RPS16",4.16048568681168e-11,1.66271589515724,0.507,0.174,1.2481457060435e-07,"Normal-Cardiomyocyte","RPS16"
"UQCR11",6.47172779138974e-11,1.11249025817243,0.482,0.139,1.94151833741692e-07,"Normal-Cardiomyocyte","UQCR11"
"SLC25A3",1.36299031518227e-10,5.13816098570813,0.481,0.417,4.0889709455468e-07,"Normal-Cardiomyocyte","SLC25A3"
"DKK3",1.36650308616556e-08,2.283512506033,0.469,0.326,4.09950925849668e-05,"Normal-Cardiomyocyte","DKK3"
"ITM2B",2.5918146643829e-08,3.51830125488775,0.472,0.374,7.77544399314871e-05,"Normal-Cardiomyocyte","ITM2B"
"GABARAPL2",4.46062559867894e-08,5.15692989703144,0.362,0.146,0.000133818767960368,"Normal-Cardiomyocyte","GABARAPL2"
"CST3",6.59963868005059e-08,2.64107213636921,0.49,0.333,0.000197989160401518,"Normal-Cardiomyocyte","CST3"
"RPL13",5.44355516191428e-07,4.34374385371248,0.443,0.277,0.00163306654857429,"Normal-Cardiomyocyte","RPL13"
"COX7A1",5.66549829666503e-07,2.87221368824183,0.498,0.261,0.00169964948899951,"Normal-Cardiomyocyte","COX7A1"
"GRIP2",1.25737239628219e-06,0.616680076816011,0.281,0.381,0.00377211718884658,"Normal-Cardiomyocyte","GRIP2"
"DBI",6.44371520333978e-06,4.5612560323546,0.425,0.15,0.0193311456100193,"Normal-Cardiomyocyte","DBI"
"FAU",7.52318205885401e-06,2.12395576200843,0.452,0.194,0.022569546176562,"Normal-Cardiomyocyte","FAU"
"SRP14",1.21592522112835e-05,4.564260048221,0.448,0.146,0.0364777566338506,"Normal-Cardiomyocyte","SRP14"
