"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TAGLN",4.76270106520592e-82,0.499109701721716,0.412,0.1,1.42881031956178e-78,"Normal-Macrophage","TAGLN"
"FAM13A",6.26310729019409e-08,0.969027896787124,0.493,0.389,0.000187893218705823,"Normal-Macrophage","FAM13A"
"ACYP2",0.00104707819932393,0.648253005186057,0.389,0.312,1,"Normal-Macrophage","ACYP2"
"FABP3",1.95636674855833e-55,1.07377472980246,0.197,0.259,5.86910024567499e-52,"Chemo-Macrophage","FABP3"
"CSRP3",1.30430706879866e-35,0.264760806363784,0.198,0.214,3.91292120639597e-32,"Chemo-Macrophage","CSRP3"
"ACER3",4.64229583760425e-13,0.407996393603783,0.392,0.322,1.39268875128127e-09,"Chemo-Macrophage","ACER3"
"TYROBP",2.02322061156822e-11,0.496591103700085,0.393,0.297,6.06966183470465e-08,"Chemo-Macrophage","TYROBP"
"UBE2E2",4.92316311736331e-05,0.324118848705566,0.396,0.407,0.147694893520899,"Chemo-Macrophage","UBE2E2"
"LY96",6.04243250802814e-05,0.976612257892116,0.324,0.243,0.181272975240844,"Chemo-Macrophage","LY96"
"ARHGAP18",0.000183533715063655,0.257096865617664,0.433,0.401,0.550601145190966,"Chemo-Macrophage","ARHGAP18"
"DMXL2",0.00345087422456064,0.588626208244995,0.31,0.402,1,"Chemo-Macrophage","DMXL2"
"TPM1",0,24.9838846158361,0.473,0.223,0,"Donor-Macrophages","TPM1"
"AC058791.1",0,14.3461414242714,0.169,0.228,0,"Donor-Macrophages","AC058791.1"
"FMN1",0,13.4579185108336,0.501,0.256,0,"Donor-Macrophages","FMN1"
"VEGFA",0,13.1557465802357,0.052,0.11,0,"Donor-Macrophages","VEGFA"
"EFCAB11",0,7.4713038712907,0.078,0.118,0,"Donor-Macrophages","EFCAB11"
"CD163",0,7.36757873870947,0.491,0.26,0,"Donor-Macrophages","CD163"
"SCO2",0,7.05618095680815,0.078,0.127,0,"Donor-Macrophages","SCO2"
"ACTC1",0,4.10002675901853,0.464,0.22,0,"Donor-Macrophages","ACTC1"
"SORBS2",0,3.15294345941289,0.159,0.182,0,"Donor-Macrophages","SORBS2"
"HBEGF",0,1.86141867463421,0.083,0.139,0,"Donor-Macrophages","HBEGF"
"STAT4",0,1.85391215927967,0.063,0.154,0,"Donor-Macrophages","STAT4"
"ITGAX",0,1.33572991101192,0.104,0.198,0,"Donor-Macrophages","ITGAX"
"DPYSL3",0,1.29303670985685,0.076,0.132,0,"Donor-Macrophages","DPYSL3"
"DLC1",0,0.652440754056151,0.072,0.107,0,"Donor-Macrophages","DLC1"
"CIITA",0,0.401694274326001,0.261,0.401,0,"Donor-Macrophages","CIITA"
"PRKG1",0,0.34942627226301,0.1,0.125,0,"Donor-Macrophages","PRKG1"
"PPFIBP1",2.31405766974455e-305,19.4237426634579,0.109,0.119,6.94217300923366e-302,"Donor-Macrophages","PPFIBP1"
"ASAP2",3.03030296311186e-301,0.678199851828875,0.13,0.151,9.09090888933559e-298,"Donor-Macrophages","ASAP2"
"SGCD",8.51739662882961e-298,9.48968788459438,0.086,0.105,2.55521898864888e-294,"Donor-Macrophages","SGCD"
"VSIG4",1.7276686908308e-296,13.4463018349336,0.44,0.231,5.18300607249241e-293,"Donor-Macrophages","VSIG4"
"PDE3A",5.16574558648719e-293,14.0130041380857,0.131,0.146,1.54972367594616e-289,"Donor-Macrophages","PDE3A"
"ARMC9",1.25574229752673e-288,3.89714876926568,0.116,0.148,3.76722689258018e-285,"Donor-Macrophages","ARMC9"
"CACNA1C",4.94336631728078e-288,3.52538981992515,0.104,0.118,1.48300989518423e-284,"Donor-Macrophages","CACNA1C"
"SEL1L3",1.42601535138275e-282,8.24136724985832,0.062,0.109,4.27804605414826e-279,"Donor-Macrophages","SEL1L3"
"FOSL2",9.77696191885909e-280,6.74081881285405,0.082,0.125,2.93308857565773e-276,"Donor-Macrophages","FOSL2"
"SULF2",1.21415382972582e-277,12.9494805627412,0.134,0.16,3.64246148917745e-274,"Donor-Macrophages","SULF2"
"MS4A14",1.71883929907476e-277,3.95818661686956,0.193,0.28,5.15651789722429e-274,"Donor-Macrophages","MS4A14"
"PRR4",3.40444176052046e-273,2.06684167640601,0.112,0.134,1.02133252815614e-269,"Donor-Macrophages","PRR4"
"ABCA9",1.893343836852e-272,4.3028596956644,0.188,0.257,5.680031510556e-269,"Donor-Macrophages","ABCA9"
"FYN",2.55718683995045e-271,10.6448606057677,0.106,0.15,7.67156051985135e-268,"Donor-Macrophages","FYN"
"CRYAB",5.23442984720335e-269,13.1859598766428,0.452,0.245,1.570328954161e-265,"Donor-Macrophages","CRYAB"
"DSCAML1",7.5541315136379e-268,7.52996419511321,0.095,0.15,2.26623945409137e-264,"Donor-Macrophages","DSCAML1"
"TCAP",2.9990939802826e-267,23.3044835355597,0.441,0.215,8.99728194084781e-264,"Donor-Macrophages","TCAP"
"ABLIM1",1.15544436531983e-261,11.58375304804,0.105,0.097,3.4663330959595e-258,"Donor-Macrophages","ABLIM1"
"RORA",7.48956496457343e-261,16.7332950172936,0.097,0.105,2.24686948937203e-257,"Donor-Macrophages","RORA"
"MB21D2",2.30743491572011e-253,8.81333336828532,0.147,0.252,6.92230474716034e-250,"Donor-Macrophages","MB21D2"
"ITPR1",6.5760084896085e-251,3.22193671439795,0.104,0.146,1.97280254688255e-247,"Donor-Macrophages","ITPR1"
"LTBP2",3.66316244988707e-250,15.7267891965887,0.083,0.135,1.09894873496612e-246,"Donor-Macrophages","LTBP2"
"APLF",1.31038258361088e-247,0.386189244680811,0.067,0.101,3.93114775083263e-244,"Donor-Macrophages","APLF"
"BANP",5.16332644153967e-246,23.9244392260979,0.19,0.245,1.5489979324619e-242,"Donor-Macrophages","BANP"
"MERTK",6.09287330751421e-246,1.17301766585841,0.462,0.29,1.82786199225426e-242,"Donor-Macrophages","MERTK"
"LIPE-AS1",9.8227058604523e-244,2.07657286909778,0.101,0.125,2.94681175813569e-240,"Donor-Macrophages","LIPE-AS1"
