"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SNX15",7.257114235365e-156,-27.7564135465252,0.102,0.038,2.1771342706095e-152,"Normal-Macrophage","SNX15"
"PRR4",3.94208536688055e-153,-1.76194060917102,0.63,0.114,1.18262561006417e-149,"Normal-Macrophage","PRR4"
"NRAP",5.01954372321751e-147,-28.6663181041665,0.488,0.063,1.50586311696525e-143,"Normal-Macrophage","NRAP"
"MYH6",1.91527614104264e-143,-25.0747724050632,0.565,0.131,5.74582842312793e-140,"Normal-Macrophage","MYH6"
"LRRC2",2.74754294167667e-138,-28.8180767949496,0.641,0.048,8.24262882503e-135,"Normal-Macrophage","LRRC2"
"TNNI3K",3.00622706866776e-137,-30.9083111725528,0.13,0.008,9.01868120600329e-134,"Normal-Macrophage","TNNI3K"
"PLA2G5",1.55451630026395e-136,-26.2321259965138,0.354,0.034,4.66354890079186e-133,"Normal-Macrophage","PLA2G5"
"EXOSC5",2.67676017873955e-132,-8.40249823327364,0.69,0.031,8.03028053621865e-129,"Normal-Macrophage","EXOSC5"
"POSTN",6.41461094814319e-132,-18.5337218421512,0.324,0.044,1.92438328444296e-128,"Normal-Macrophage","POSTN"
"ADGRF5",3.2572939144618e-131,-26.9331446031216,0.488,0.027,9.77188174338539e-128,"Normal-Macrophage","ADGRF5"
"HULC",7.35591672702372e-130,-27.5955123170178,0.13,0.01,2.20677501810711e-126,"Normal-Macrophage","HULC"
"ADIRF",1.15661070892279e-127,-8.46691994713478,0.412,0.04,3.46983212676837e-124,"Normal-Macrophage","ADIRF"
"ZNF19",6.80804131012964e-126,-30.0057170957766,0.12,0.006,2.04241239303889e-122,"Normal-Macrophage","ZNF19"
"NID1",4.77657061378793e-123,-13.5195529300944,0.44,0.036,1.43297118413638e-119,"Normal-Macrophage","NID1"
"LINC00299",6.79073313074488e-122,-28.0334790684219,0.1,0.014,2.03721993922346e-118,"Normal-Macrophage","LINC00299"
"SLC9A3R2",2.35433425373281e-121,-13.6978525149809,0.435,0.046,7.06300276119843e-118,"Normal-Macrophage","SLC9A3R2"
"TANC1",8.05392199400963e-120,-9.98880448315374,0.41,0.066,2.41617659820289e-116,"Normal-Macrophage","TANC1"
"KCNC1",5.51862988037581e-119,-28.1915054802533,0.109,0.007,1.65558896411274e-115,"Normal-Macrophage","KCNC1"
"MGST1",1.22721778126871e-117,-25.3378234581711,0.403,0.034,3.68165334380613e-114,"Normal-Macrophage","MGST1"
"PRRG2",1.07915405438845e-115,-26.2979596237684,0.685,0.016,3.23746216316536e-112,"Normal-Macrophage","PRRG2"
"PCOLCE2",5.55918857166516e-114,-24.6517659289595,0.306,0.039,1.66775657149955e-110,"Normal-Macrophage","PCOLCE2"
"MYH11",4.64403892801631e-113,-28.0501654145526,0.102,0.018,1.39321167840489e-109,"Normal-Macrophage","MYH11"
"NUDT8",2.47459467105011e-110,-11.4229583581781,0.454,0.028,7.42378401315033e-107,"Normal-Macrophage","NUDT8"
"CDH19",2.69439963677234e-110,-23.7837957487527,0.37,0.044,8.08319891031702e-107,"Normal-Macrophage","CDH19"
"B3GAT2",5.11692592856217e-110,-14.9179972736361,0.125,0.007,1.53507777856865e-106,"Normal-Macrophage","B3GAT2"
"XIRP1",5.42845195136915e-110,-24.1985916323913,0.303,0.038,1.62853558541075e-106,"Normal-Macrophage","XIRP1"
"UTS2",3.04988557122786e-109,-29.0091746341231,0.146,0.002,9.14965671368357e-106,"Normal-Macrophage","UTS2"
