"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PI16",0,-22.0780254145697,0.686,0.032,0,"Normal-Cardiomyocyte","PI16"
"CCL21",0,-41.4037001560896,0.639,0.027,0,"Normal-Cardiomyocyte","CCL21"
"AC006369.2",3.72079471875727e-302,-22.990764617462,0.571,0.098,1.11623841562718e-298,"Normal-Cardiomyocyte","AC006369.2"
"POLN",4.25092922592587e-266,-36.3154401492554,0.416,0.071,1.27527876777776e-262,"Normal-Cardiomyocyte","POLN"
"AC011524.1",4.72758036392157e-264,-6.48956290345772,0.368,0.117,1.41827410917647e-260,"Normal-Cardiomyocyte","AC011524.1"
"CDH11",2.15233964893807e-259,-34.4773561713725,0.571,0.035,6.4570189468142e-256,"Normal-Cardiomyocyte","CDH11"
"VCAN",1.48598177386789e-258,-32.3504603074737,0.57,0.049,4.45794532160367e-255,"Normal-Cardiomyocyte","VCAN"
"SULT1B1",1.25348294832878e-256,-36.6556724177486,0.714,0.014,3.76044884498635e-253,"Normal-Cardiomyocyte","SULT1B1"
"FBLN2",6.44211802879785e-255,-16.895417647787,0.562,0.041,1.93263540863935e-251,"Normal-Cardiomyocyte","FBLN2"
"HBA2",2.94989809583538e-254,-43.9726765928053,0.402,0.065,8.84969428750615e-251,"Normal-Cardiomyocyte","HBA2"
"COL8A1",2.84954175073074e-247,-34.721223681019,0.516,0.036,8.54862525219221e-244,"Normal-Cardiomyocyte","COL8A1"
"MECOM",2.92467881556235e-244,-34.7940396457877,0.504,0.053,8.77403644668704e-241,"Normal-Cardiomyocyte","MECOM"
"CD74",7.69250137066545e-242,-32.6749152967065,0.439,0.089,2.30775041119963e-238,"Normal-Cardiomyocyte","CD74"
"CALCRL",8.33511205746886e-229,-25.4540540084764,0.456,0.039,2.50053361724066e-225,"Normal-Cardiomyocyte","CALCRL"
"SNAP91",6.60251983222516e-220,-32.8564144941267,0.252,0.041,1.98075594966755e-216,"Normal-Cardiomyocyte","SNAP91"
"NR2F2",1.17135415201107e-219,-19.1695587146156,0.666,0.021,3.5140624560332e-216,"Normal-Cardiomyocyte","NR2F2"
"IGFBP4",2.75831849862833e-217,-21.8290173519336,0.487,0.046,8.274955495885e-214,"Normal-Cardiomyocyte","IGFBP4"
"MUSK",1.36568009404675e-215,-31.8244502083832,0.427,0.043,4.09704028214026e-212,"Normal-Cardiomyocyte","MUSK"
"C7",3.91151108743215e-208,-23.012839703432,0.36,0.094,1.17345332622964e-204,"Normal-Cardiomyocyte","C7"
"SLC9A3R2",1.36221826474079e-202,-15.3960537050525,0.271,0.043,4.08665479422236e-199,"Normal-Cardiomyocyte","SLC9A3R2"
"ITM2A",1.04606245850034e-200,-32.1340624819673,0.444,0.028,3.13818737550102e-197,"Normal-Cardiomyocyte","ITM2A"
"TNXB",5.99033291148268e-200,-32.0766442799747,0.284,0.055,1.7970998734448e-196,"Normal-Cardiomyocyte","TNXB"
"MCOLN3",6.81081969274295e-199,-23.6059390141865,0.299,0.029,2.04324590782288e-195,"Normal-Cardiomyocyte","MCOLN3"
"ENG",2.29064472034441e-198,-15.5337676634978,0.482,0.053,6.87193416103324e-195,"Normal-Cardiomyocyte","ENG"
"FBLN1",1.22536729177552e-197,-9.99341493948426,0.314,0.039,3.67610187532656e-194,"Normal-Cardiomyocyte","FBLN1"
"HLA-E",4.72555273440542e-197,-9.92209485763235,0.336,0.059,1.41766582032163e-193,"Normal-Cardiomyocyte","HLA-E"
"SVOP",7.73764943641351e-196,-29.3457222169591,0.328,0.046,2.32129483092405e-192,"Normal-Cardiomyocyte","SVOP"
"PRELP",2.95556458860663e-194,-23.5163737416104,0.51,0.051,8.86669376581989e-191,"Normal-Cardiomyocyte","PRELP"
"GALNTL6",4.22886463736215e-193,-36.4351599908753,0.346,0.083,1.26865939120864e-189,"Normal-Cardiomyocyte","GALNTL6"
"AC004053.1",8.54947234999562e-191,-19.5739265549285,0.471,0.1,2.56484170499869e-187,"Normal-Cardiomyocyte","AC004053.1"
"PPP1R14A",1.98940174549887e-190,-17.4622839454464,0.457,0.035,5.9682052364966e-187,"Normal-Cardiomyocyte","PPP1R14A"
"LUM",5.2914941358356e-186,-3.07106067983201,0.411,0.043,1.58744824075068e-182,"Normal-Cardiomyocyte","LUM"
"FABP4",1.80045233984729e-184,-31.841807677708,0.434,0.09,5.40135701954187e-181,"Normal-Cardiomyocyte","FABP4"
"COL1A2",7.28454717629848e-184,-34.9453403400421,0.382,0.059,2.18536415288955e-180,"Normal-Cardiomyocyte","COL1A2"
